DEFINIENDUM,CATEGORY,CATEGORY_TEXT,SENTENCE,*,AFFECTS,COMPOSITION_MEDIUM,CONTAINS,DEFINED_AS,DEFINITOR,GENUS,HAS_ATTRIBUTE,HAS_CAUSE,HAS_FORM,HAS_FUNCTION,HAS_LOCATION,HAS_POSITION,HAS_RESULT,HAS_SIZE,MEASURES,OCCURS_IN_TIME,SPECIES,STUDIES,frame_ATTRIBUTE,frame_CAUSE,frame_COMPOSITION,frame_CONTAINS,frame_DEFINED_AS,frame_FORM,frame_FUNCTION,frame_LOCATION,frame_MEASURES,frame_MEDIUM,frame_POSITION,frame_RESULT,frame_SIZE,frame_STUDIES,frame_TIME
Speleogeneza,A.2 Underground landform|B.2 Loss|B. Process|B.4 Transformation|B.3 Addition,jam|izginjanja|Speleogeneza|razvoja|nastajanja,"Speleogeneza je proces nastajanja, razvoja in izginjanja jam.",,,,,"je proces nastajanja , razvoja in izginjanja jam",je,proces,,,,,,,,,,,izginjanja jam|nastajanja|razvoja,,,,,,,,,,,,,,,,
spodmol,D.1 Abiotic|D.2 Biotic|A.1 Surface landform|A.1 Surface landform|A.1 Surface landform|D.1 Abiotic,Skalni previs|človek|abri|Poljama|spodmol|previs,"abri: Skalni previs, ki ga je lahko izkoriščal človek za zavetje. Poljama, spodmol s širokim portalom. previs",,,,,,,previs,,,s širokim portalom,ki ga je lahko izkoriščal človek za zavetje,,,,,,,,,,,,,,,ga je lahko izkoriščal,,,,,,,,
Poljama,D.1 Abiotic|D.2 Biotic|A.1 Surface landform|A.1 Surface landform|A.1 Surface landform|D.1 Abiotic,Skalni previs|človek|abri|Poljama|spodmol|previs,"abri: Skalni previs, ki ga je lahko izkoriščal človek za zavetje. Poljama, spodmol s širokim portalom. previs",,,,,,,previs,,,s širokim portalom,ki ga je lahko izkoriščal človek za zavetje,,,,,,,,,,,,,,,ga je lahko izkoriščal,,,,,,,,
abri,D.1 Abiotic|D.2 Biotic|A.1 Surface landform|A.1 Surface landform|A.1 Surface landform|D.1 Abiotic,Skalni previs|človek|abri|Poljama|spodmol|previs,"abri: Skalni previs, ki ga je lahko izkoriščal človek za zavetje. Poljama, spodmol s širokim portalom. previs",,,,,,,previs,,,s širokim portalom,ki ga je lahko izkoriščal človek za zavetje,,,,,,,,,,,,,,,ga je lahko izkoriščal,,,,,,,,
agresivna voda,D.1 Abiotic|B.2 Loss|D.1 Abiotic|B.2 Loss|D.1 Abiotic,agresivna voda|korodirati|kamnino|raztapljati|Voda,"agresivna voda: Voda, ki vsebuje nevezano ogljikovo, humozno, dušikovo ali druge kisline ter je še sposobna raztapljati karbonatno kamnino. V krasoslovju voda, ki je sposobna korodirati.",,,,"ki vsebuje nevezano ogljikovo , humozno , dušikovo ali druge kisline",,,Voda,,,,je še sposobna raztapljati karbonatno kamnino|ki je sposobna korodirati,,,,,,,,,,,,vsebuje,,,je še sposobna|je sposobna,,,,,,,,
alogena voda,C. Geome|D.1 Abiotic|C. Geome|D.1 Abiotic,kraško površje|alogena voda|podzemlje|Voda,"alogena voda: Voda, ki priteka na kraško površje ali v podzemlje z nekraškega sveta.",,,,,,,Voda,,,,,,,,,,,,,,,,,,,ki priteka,,,,,,,,
apnenec,D.1 Abiotic|D.1 Abiotic|D.1 Abiotic|D.1 Abiotic|D.1 Abiotic|D.3 Property|D.1 Abiotic|D.1 Abiotic|D.1 Abiotic|D.1 Abiotic|D.1 Abiotic|D.1 Abiotic|D.1 Abiotic,apneniški dolomit|kalcijevega karbonata|dolomitizirani apnenec|Sedimentna kamnina|magnezijevega karbonata|zrnavosti|debelozrnati|mikriti|kamnina|spariti|apnenec|apnenec|drobnozrnati,"apnenec: Sedimentna kamnina, sestavljena pretežno iz kalcijevega karbonata. Kraška literatura deli apnenec zlasti po zrnavosti (drobnozrnati - mikriti, debelozrnati - spariti), po zlogu, po deležu magnezijevega karbonata (dolomitizirani apnenec, apneniški dolomit), po skladovitosti itd. kamnina",,,sestavljena pretežno iz kalcijevega karbonata,,,,Sedimentna kamnina,,,,,,,,,,,apneniški dolomit|dolomitizirani apnenec,,,,sestavljena pretežno iz,,,,,,,,,,,,
antropospeleologija,E.2 Method|A.2 Underground landform|E.2 Method|D.2 Biotic|E.2 Method|D.2 Biotic,veda|jamo|antropospeleologija|pračloveku|Veda|človekom,"antropospeleologija: Veda, ki preučuje zveze med človekom in jamo. V ožjem smislu veda o jamskem pračloveku.",,,,,,,Veda,,,,,,,,,,,,ki preučuje zveze med človekom in jamo|V ožjem smislu veda o jamskem pračloveku,,,,,,,,,,,,,,preučuje,
aragonit,D.1 Abiotic|D.1 Abiotic|B.4 Transformation|A.2 Underground landform|D.1 Abiotic|D.1 Abiotic|D.1 Abiotic,Kalcijev karbonat|kristalov|kristalizira|jamah|aragonit|kalcit|stroncija,"aragonit: Kalcijev karbonat iste sestave kot kalcit, le da kristalizira rombično. Navadno vsebuje manjšo primes stroncija SrCO3. V naših jamah običajno nastopa v obliki igličastih kristalov. Prim. aragonitna jama.",,,Navadno vsebuje manjšo primes stroncija SrCO3|iste sestave kot kalcit,,,,Kalcijev karbonat,,,V naših jamah običajno nastopa v obliki igličastih kristalov|le da kristalizira rombično,,,,,,,,,,,,iste sestave kot|Navadno vsebuje,,,v obliki,,,,,,,,,
artefakt,D.1 Abiotic|D.1 Abiotic|D.1 Abiotic|D.1 Abiotic,kamna|artefakt|kosti|orodja,artefakt: Kos predhistoričnega orodja iz kamna ali kosti.,,,iz kamna ali kosti,,Kos predhistoričnega orodja,,orodja,,,,,,,,,,,,,,,iz,,,,,,,,,,,,
barvanje kraške vode,E.1 Instrument|E.2 Method|E.2 Method|E.2 Method|E.2 Method|D.1 Abiotic|E.2 Method|D.1 Abiotic,"kemičnimi , biološkimi in fizikalnimi sredstvi|barvanje kraške vode|sledenje|določevanje|obarvanje|vode|Določevanje|iztok","barvanje kraške vode, sledenje: Določevanje sklenjenosti kraške vode. V ožjem smislu obarvanje ponirajoče vode z namenom, da bi ugotovili njen ponovni iztok. V širšem smislu vsako določevanje podzemeljskih vodnih zvez s kemičnimi, biološkimi in fizikalnimi sredstvi.",,,,,"vsako določevanje podzemeljskih vodnih zvez s kemičnimi , biološkimi in fizikalnimi sredstvi|Določevanje sklenjenosti kraške vode",,,,"V ožjem smislu obarvanje ponirajoče vode z namenom , da bi ugotovili njen ponovni iztok",,,,,,,,,,,,,,,,,,,,,,,,,
sledenje,E.1 Instrument|E.2 Method|E.2 Method|E.2 Method|E.2 Method|D.1 Abiotic|E.2 Method|D.1 Abiotic,"kemičnimi , biološkimi in fizikalnimi sredstvi|barvanje kraške vode|sledenje|določevanje|obarvanje|vode|Določevanje|iztok","barvanje kraške vode, sledenje: Določevanje sklenjenosti kraške vode. V ožjem smislu obarvanje ponirajoče vode z namenom, da bi ugotovili njen ponovni iztok. V širšem smislu vsako določevanje podzemeljskih vodnih zvez s kemičnimi, biološkimi in fizikalnimi sredstvi.",,,,,"vsako določevanje podzemeljskih vodnih zvez s kemičnimi , biološkimi in fizikalnimi sredstvi|Določevanje sklenjenosti kraške vode",,,,"V ožjem smislu obarvanje ponirajoče vode z namenom , da bi ugotovili njen ponovni iztok",,,,,,,,,,,,,,,,,,,,,,,,,
biospeleologija,D.2 Biotic|C. Geome|E.2 Method|E.2 Method|A.2 Underground landform,živih bitjih|podzemlju|biospeleologija|Znanost|jamah,"biospeleologija: Znanost o živih bitjih v jamah, v širšem smislu v podzemlju sploh. v jamah v podzemlju",,,,,,,Znanost,,,,,v jamah|v podzemlju,,,,,,,"o živih bitjih v jamah , v širšem smislu v podzemlju sploh .",,,,,,,,,,,,,,,
boksit,D.1 Abiotic|D.1 Abiotic|D.1 Abiotic|D.3 Property|D.1 Abiotic|D.1 Abiotic|D.1 Abiotic|B.2 Loss,aluminijevih hidroksidov|Usedlina|apnenca|klimi|boksit|tropski|ruda|preperevanja,"boksit: Usedlina, sestavljena v pretežni meri iz aluminijevih hidroksidov. Ta aluminijeva ruda je rezultat preperevanja apnenca v vlažni tropski ali subtropski klimi.",,,sestavljena v pretežni meri iz aluminijevih hidroksidov,,,,Usedlina,,Ta aluminijeva ruda je rezultat preperevanja apnenca,,,v vlažni tropski ali subtropski klimi,,,,,,,,,je rezultat,sestavljena v pretežni meri iz,,,,,v,,,,,,,
brezno,D.1 Abiotic|A.2 Underground landform|A.2 Underground landform|D.3.1 Geolocation,votlina|jama|brezno|Slovenije,"brezno: Navpična ali strma votlina, bolj globoka kot široka, ki se ji ne vidi dna, “ brez dna ”. V nekaterih kraških predelih Slovenije lj. jama.",,,,,,,votlina,,,"ki se ji ne vidi dna , “ brez dna ”|bolj globoka kot široka|Navpična ali strma",,,,,,,,,,,,,,,,,,,,,,,,
jama,D.1 Abiotic|A.2 Underground landform|A.2 Underground landform|D.3.1 Geolocation,votlina|jama|brezno|Slovenije,"brezno: Navpična ali strma votlina, bolj globoka kot široka, ki se ji ne vidi dna, “ brez dna ”. V nekaterih kraških predelih Slovenije lj. jama.",,,,,,,votlina,,,"ki se ji ne vidi dna , “ brez dna ”|bolj globoka kot široka|Navpična ali strma",,,,,,,,,,,,,,,,,,,,,,,,
požiralno brezno,A.2 Underground landform|A.2 Underground landform|A.2 Underground landform|D.1 Abiotic,ponorno brezno|požiralno brezno|Brezno|voda,"ponorno brezno, požiralno brezno: Brezno, v katerega ponika voda.",,,,,,,Brezno,,,,v katerega ponika voda,,,,,,,,,,,,,,,v katerega ponika,,,,,,,,
ponorno brezno,A.2 Underground landform|A.2 Underground landform|A.2 Underground landform|D.1 Abiotic,ponorno brezno|požiralno brezno|Brezno|voda,"ponorno brezno, požiralno brezno: Brezno, v katerega ponika voda.",,,,,,,Brezno,,,,v katerega ponika voda,,,,,,,,,,,,,,,v katerega ponika,,,,,,,,
izvirno brezno,A.3 Hydrological form|D.1 Abiotic,izvirno brezno|voda,izvirno brezno: Iz njega voda izvira.,,,,,,,,,,,Iz njega voda izvira,,,,,,,,,,,,,,,,,,,,,,,
vodokazno brezno,D.1 Abiotic|A.2 Underground landform|D.3 Property|A.2 Underground landform|D.3 Property|D.1 Abiotic,kraške vode|vodokazno brezno|vodna gladina|Brezno|gladina|vode,"vodokazno brezno: Brezno, v katerem vodna gladina koleba skladno s širšo gladino (nivojem) kraške vode in je zato njen kazalec. gladina vode",,,,,,,Brezno,,,,v katerem vodna gladina koleba skladno s širšo gladino ( nivojem ) kraške vode in je zato njen kazalec,,,,,,,,,,,,,,,koleba skladno s,,,,,,,,
lijakasto brezno,A.2 Underground landform|D.1 Abiotic,lijakasto brezno|lijaku,lijakasto brezno: Je podobno lijaku in se navzdol oži.,,,,,,,,,,Je podobno lijaku in se navzdol oži,,,,,,,,,,,,,,,Je podobno,,,,,,,,,
ponornica,D.1 Abiotic|C. Geome|A.3 Hydrological form|A.3 Hydrological form|B.1 Movement,Vodni tok|kraško podzemlje|ponikalnica|ponornica|ponikne,"ponikalnica, ponornica: Vodni tok, ki ponikne v kraško podzemlje.",,,,,,,Vodni tok,,,,ponikne,v kraško podzemlje,,,,,,,,,,,,,,,v,,,,,,,
ponikalnica,D.1 Abiotic|C. Geome|A.3 Hydrological form|A.3 Hydrological form|B.1 Movement,Vodni tok|kraško podzemlje|ponikalnica|ponornica|ponikne,"ponikalnica, ponornica: Vodni tok, ki ponikne v kraško podzemlje.",,,,,,,Vodni tok,,,,ponikne,v kraško podzemlje,,,,,,,,,,,,,,,v,,,,,,,
ponikev,D.1 Abiotic|A.3 Hydrological form|D.3.1 Geolocation|B.2 Loss|D.1 Abiotic|D.1 Abiotic|A.3 Hydrological form|D.1 Abiotic|A.3 Hydrological form|A.3 Hydrological form|D.1 Abiotic|D.3.1 Geolocation,vodnega toka|ponikev|Temenice|ponikanje|odprtino|voda|ponikva|naplavino|ponor|požiralnik|Odprtina|Ponikve,"ponikev, ponikva: Odprtina, kamor se izgublja voda. Priporočljiv pomen za ponikev: ponikanje vodnega toka v odprtino, večidel prekrito z naplavino, v nasprotju s ponikanjem v jamo (ponor), ali špranjo v skali (požiralnik) (Primer: ponikev Temenice pri vasi Ponikve).",,,večidel prekrito z naplavino,,,,Odprtina,,,,ponikanje vodnega toka,kamor se izgublja voda|v odprtino,,,,,,,,,,,,,,,kamor se izgublja|v,,,,,,,
ponikva,D.1 Abiotic|A.3 Hydrological form|D.3.1 Geolocation|B.2 Loss|D.1 Abiotic|D.1 Abiotic|A.3 Hydrological form|D.1 Abiotic|A.3 Hydrological form|A.3 Hydrological form|D.1 Abiotic|D.3.1 Geolocation,vodnega toka|ponikev|Temenice|ponikanje|odprtino|voda|ponikva|naplavino|ponor|požiralnik|Odprtina|Ponikve,"ponikev, ponikva: Odprtina, kamor se izgublja voda. Priporočljiv pomen za ponikev: ponikanje vodnega toka v odprtino, večidel prekrito z naplavino, v nasprotju s ponikanjem v jamo (ponor), ali špranjo v skali (požiralnik) (Primer: ponikev Temenice pri vasi Ponikve).",,,večidel prekrito z naplavino,,,,Odprtina,,,,ponikanje vodnega toka,kamor se izgublja voda|v odprtino,,,,,,,,,,,,,,,kamor se izgublja|v,,,,,,,
ponor,D.3.1 Geolocation|B.2 Loss|B.1 Movement|D.3.1 Geolocation|D.1 Abiotic|A.3 Hydrological form|D.1 Abiotic|D.1 Abiotic|D.1 Abiotic|D.1 Abiotic|A.2 Underground landform,Postojnsko jamo|ponika|teče|Pivke|luknja|ponor|odprtina|potok|reka|voda|jama,"ponor: Večja odprtina, v kateri ponika voda. Priporočljiv pomen: večja vodoravna luknja (jama), v katero teče potok ali reka (na primer vtok Pivke v Postojnsko jamo).",,,,,,,odprtina,,,vodoravna,v katero teče potok ali reka|v kateri ponika voda,,,,Večja|večja,,,,,,,,,,,v kateri ponika,v,,,,,,,
jezerski ponor,D.1 Abiotic|D.1 Abiotic|A.3 Hydrological form|D.1 Abiotic|D.1 Abiotic|A.3 Hydrological form|D.1 Abiotic,"jezerski kotanji|, kotanji|jezerski ponor|obali|jezera|Ponor|voda","jezerski ponor: Ponor na obali ali jezerski kotanji, v katerega teče voda iz jezera. kotanji",,,,,,,Ponor,,,,v katerega teče voda iz jezera,na obali ali jezerski kotanji,,,,,,,,,,,,,,,na,,,,,,,
požiralnik,C. Geome|D.1 Abiotic|A.2 Underground landform|B.2 Loss|D.1 Abiotic|D.1 Abiotic|A.3 Hydrological form,kraško podzemlje|skalnem koritu|brezno|izgubljanja|vodo|špranja|požiralnik,"požiralnik: Mesto izgubljanja vode v kraško podzemlje. Priporočljiv pomen: špranja ali brezno v skalnem koritu, ki požira vodo.",,,,,,,Mesto izgubljanja vode,,,,ki požira vodo,Mesto izgubljanja vode v kraško podzemlje|v skalnem koritu,,,,,,,,,,,,,,ki požira,Mesto|v,,,,,,,
profil jamskega rova,D.3 Property|D.3 Property|A.2 Underground landform|D.3 Property|D.3 Property|D.3 Property|D.3 Property|D.3 Property|D.3 Property|D.3 Property|D.3 Property,kupolasti ( svodasti|profil jamskega rova|jamskega rova|prečni profil|lečasti|okroglasti|trapezasti|špranjasti|kvadratasti|sodasti|pravokotniški,"prečni profil, profil jamskega rova: Oblika jamskega rova v prečnem preseku. Po podobnosti z geometrijskimi liki ločimo okroglasti, sodasti, pravokotniški, kvadratasti, trapezasti, kupolasti (svodasti), lečasti, špranjasti (itd.) prečni profil.",,,,,,,,,,"Po podobnosti z geometrijskimi liki ločimo okroglasti , sodasti , pravokotniški , kvadratasti , trapezasti , kupolasti ( svodasti ) , lečasti , špranjasti ( itd . ) prečni profil|Oblika jamskega rova v prečnem preseku",,,,,,,,kupolasti ( svodasti|špranjasti|lečasti|pravokotniški|sodasti|kvadratasti|trapezasti|okroglasti,,,,,,,Po podobnosti z geometrijskimi liki ločimo|v prečnem preseku,,,,,,,,,
prečni profil,D.3 Property|D.3 Property|A.2 Underground landform|D.3 Property|D.3 Property|D.3 Property|D.3 Property|D.3 Property|D.3 Property|D.3 Property|D.3 Property,kupolasti ( svodasti|profil jamskega rova|jamskega rova|prečni profil|lečasti|okroglasti|trapezasti|špranjasti|kvadratasti|sodasti|pravokotniški,"prečni profil, profil jamskega rova: Oblika jamskega rova v prečnem preseku. Po podobnosti z geometrijskimi liki ločimo okroglasti, sodasti, pravokotniški, kvadratasti, trapezasti, kupolasti (svodasti), lečasti, špranjasti (itd.) prečni profil.",,,,,,,,,,"Po podobnosti z geometrijskimi liki ločimo okroglasti , sodasti , pravokotniški , kvadratasti , trapezasti , kupolasti ( svodasti ) , lečasti , špranjasti ( itd . ) prečni profil|Oblika jamskega rova v prečnem preseku",,,,,,,,kupolasti ( svodasti|špranjasti|lečasti|pravokotniški|sodasti|kvadratasti|trapezasti|okroglasti,,,,,,,Po podobnosti z geometrijskimi liki ločimo|v prečnem preseku,,,,,,,,,
Gravitacijski vodni tok,D.1 Abiotic|D.1 Abiotic|D.1 Abiotic|D.1 Abiotic,Gravitacijski vodni tok|ravno dno|svodast strop|stene,"Gravitacijski vodni tok oblikuje gravitacijski prečni profil. Zanj so značilne stene, ravno dno in svodast strop. stene, ravno dno in svodast strop",,,,". stene , ravno dno in svodast strop",,,,,,"Zanj so značilne stene , ravno dno in svodast strop",oblikuje gravitacijski prečni profil,,,,,,,,,,,,,,,oblikuje,,,,,,,,
Eforacijski tok,D.1 Abiotic|B.1 Movement|D.3 Property|A.2 Underground landform|D.1 Abiotic,Eforacijski tok|pretokom|tlakom|rove|vode,"Eforacijski tok oblikuje eforacijski prečni profil. Zanj so značilne okroglaste oblike in je značilen za rove, ki so nastali s pretokom vode pod tlakom.",,,,,,,,,nastali s pretokom vode pod tlakom,značilne okroglaste oblike,oblikuje eforacijski prečni profil,,,,,,,,,,,,,,so značilne okroglaste oblike,oblikuje,,,,,,,,
predkraška faza,D.3 Property|D.1 Abiotic|D.1 Abiotic|D.1 Abiotic|C. Geome|B.4 Transformation|D.1 Abiotic|D.1 Abiotic,rečni ( normalni ) relief|predkraška faza|kraška faza|površja|krasa|zakrasevanja|Doba|površju,"predkraška faza: Doba v razvoju površja pred začetkom zakrasevanja, ko je vladal na površju rečni (normalni) relief. Besedo uporabljajo takrat, kadar je tej fazi sledila kraška faza oziroma nastajanje krasa.",,,,,,,Doba,,,,,,,,,,"Doba v razvoju površja pred začetkom zakrasevanja , ko je vladal na površju rečni ( normalni ) relief",,,,,,,,,,,,,,,,,pred začetkom
vodna prepustnost,D.1 Abiotic|D.3 Property|D.1 Abiotic|D.3 Property|B.2 Loss|D.3 Property|D.3 Property|D.1 Abiotic,kraški kamnini|vodna prepustnost|kraške kamnine|vodoprepustnost|izgubljanjem|propustnost|prepustnosti|vrtine,"propustnost, vodna prepustnost, vodoprepustnost: Stopnja prepustnosti kraške kamnine. Določujejo jo z izgubljanjem vode v določenem časovnem razmaku in pod določenim pritiskom na meter dolžine vrtine v kraški kamnini.",,,,,Stopnja prepustnosti kraške kamnine,,,,,,,,,,,,,,Določujejo jo z izgubljanjem vode v določenem časovnem razmaku in pod določenim pritiskom na meter dolžine vrtine v kraški kamnini,,,,,,,,,,,,,,Določujejo jo z,
vodoprepustnost,D.1 Abiotic|D.3 Property|D.1 Abiotic|D.3 Property|B.2 Loss|D.3 Property|D.3 Property|D.1 Abiotic,kraški kamnini|vodna prepustnost|kraške kamnine|vodoprepustnost|izgubljanjem|propustnost|prepustnosti|vrtine,"propustnost, vodna prepustnost, vodoprepustnost: Stopnja prepustnosti kraške kamnine. Določujejo jo z izgubljanjem vode v določenem časovnem razmaku in pod določenim pritiskom na meter dolžine vrtine v kraški kamnini.",,,,,Stopnja prepustnosti kraške kamnine,,,,,,,,,,,,,,Določujejo jo z izgubljanjem vode v določenem časovnem razmaku in pod določenim pritiskom na meter dolžine vrtine v kraški kamnini,,,,,,,,,,,,,,Določujejo jo z,
propustnost,D.1 Abiotic|D.3 Property|D.1 Abiotic|D.3 Property|B.2 Loss|D.3 Property|D.3 Property|D.1 Abiotic,kraški kamnini|vodna prepustnost|kraške kamnine|vodoprepustnost|izgubljanjem|propustnost|prepustnosti|vrtine,"propustnost, vodna prepustnost, vodoprepustnost: Stopnja prepustnosti kraške kamnine. Določujejo jo z izgubljanjem vode v določenem časovnem razmaku in pod določenim pritiskom na meter dolžine vrtine v kraški kamnini.",,,,,Stopnja prepustnosti kraške kamnine,,,,,,,,,,,,,,Določujejo jo z izgubljanjem vode v določenem časovnem razmaku in pod določenim pritiskom na meter dolžine vrtine v kraški kamnini,,,,,,,,,,,,,,Določujejo jo z,
presihajoče jezero,D.1 Abiotic|B.4 Transformation|D.1 Abiotic,presihajoče jezero|presuši|Jezero,"presihajoče jezero: Jezero, ki se občasno presuši.",,,,,,,Jezero,,,,ki se občasno presuši,,,,,,,,,,,,,,,,,,,,,,,
nekraška vrtača,D.1 Abiotic|D.1 Abiotic|D.1 Abiotic,nekraška vrtača|nekarbonatni kamnini|Psevdovrtača,"Psevdovrtača, nekraška vrtača: Vrtačasta oblika v nekarbonatni kamnini. oblika",,,v nekarbonatni kamnini,,,,Vrtačasta oblika|oblika,,,Vrtačasta,,,,,,,,,,,,v,,,,,,,,,,,,
Psevdovrtača,D.1 Abiotic|D.1 Abiotic|D.1 Abiotic,nekraška vrtača|nekarbonatni kamnini|Psevdovrtača,"Psevdovrtača, nekraška vrtača: Vrtačasta oblika v nekarbonatni kamnini. oblika",,,v nekarbonatni kamnini,,,,Vrtačasta oblika|oblika,,,Vrtačasta,,,,,,,,,,,,v,,,,,,,,,,,,
Psevdokras,C. Geome|D.1 Abiotic|C. Geome|C. Geome,netipičen kras|nekarbonatnih kamninah|kras|Psevdokras,"Psevdokras:. Lažni, nepravi kras. Kraški pojavi v nekarbonatnih kamninah (lavi, soli). Tudi netipičen kras.",,,"v nekarbonatnih kamninah ( lavi , soli )",,,,netipičen kras|kras,,,,,,,,,,,,,,,v,,,,,,,,,,,,
nekraška škraplja,D.1 Abiotic|D.1 Abiotic|A.1 Surface landform|D.1 Abiotic,nekraška škraplja|nekarbonatni kamnini|Škraplja|psevdoškraplja,"psevdoškraplja, nekraška škraplja: Škraplja v nekarbonatni kamnini.",,,v nekarbonatni kamnini,,,,Škraplja,,,,,,,,,,,,,,,v,,,,,,,,,,,,
psevdoškraplja,D.1 Abiotic|D.1 Abiotic|A.1 Surface landform|D.1 Abiotic,nekraška škraplja|nekarbonatni kamnini|Škraplja|psevdoškraplja,"psevdoškraplja, nekraška škraplja: Škraplja v nekarbonatni kamnini.",,,v nekarbonatni kamnini,,,,Škraplja,,,,,,,,,,,,,,,v,,,,,,,,,,,,
rov,A.2 Underground landform|A.2 Underground landform|A.2 Underground landform|A.2 Underground landform,rov|rov|jame|brezna,"rov: Del jame ali brezna, neglede na dimenzije in oblike. V ožjem smislu enakomerno širok cevast rov.",,,,,,,,,,neglede na dimenzije in oblike|cevast,,Del jame ali brezna,,,enakomerno širok,,,,,,,,,,,,Del,,,,,,,
Matični kras,D.3.1 Geolocation|D.3.1 Geolocation|D.3.1 Geolocation|D.3.1 Geolocation|D.3.1 Geolocation,Vipavsko dolino|Tržaškim zalivom|Matični kras|Kras|Kras,"Matični kras: Kras kraške pokrajine med Tržaškim zalivom in Vipavsko dolino v regiji, ki jo imenujemo Kras in katere ime je prešlo v krasoslovno terminologijo kot geomorfološki termin.",,,,,,,Kras,,,,,,"med Tržaškim zalivom in Vipavsko dolino v regiji , ki jo imenujemo Kras",,,,,,,,,,,,,,,,,med,,,,
Vrtača,D.1 Abiotic|A.1 Surface landform,kotanja|Vrtača,"Vrtača je kotanja, navadno globoka več metrov, in je bolj široka kot globoka.",,,,,,je,kotanja,,,je bolj široka kot globoka,,,,,navadno globoka več metrov,,,,,,,,,,,,,,,,,navadno globoka,,
Karbonatni prag,D.3 Property|D.3 Property|D.3 Property|D.1 Abiotic|D.1 Abiotic|D.3 Property,dinamike raztapljanja|Karbonatni prag|dinamika odlaganja|karbonati|oceanih|globina,"Karbonatni prag je globina v oceanih, do katere se karbonati še odlagajo oziroma kjer je dinamika odlaganja večja od dinamike raztapljanja karbonatov.",,,,,,je,globina,,,,,kjer je dinamika odlaganja večja od dinamike raztapljanja karbonatov|do katere se karbonati še odlagajo,,,,,,,,,,,,,,,do katere se|kjer je|odlagajo,,,,,,,
Dolomit,D.1 Abiotic|D.1 Abiotic|D.1 Abiotic|D.1 Abiotic,kamnina|dolomit|kalcit|Dolomit,"Dolomit je sedimentna karbonatna kamnina, ki jo sestavljata minerala dolomit (več kot 50 utežnih odstotkov) in kalcit.",,,ki jo sestavljata minerala dolomit ( več kot 50 utežnih odstotkov ) in kalcit,,,je,sedimentna karbonatna kamnina,,sedimentna,,,,,,,,,,,,,jo sestavljata,,,,,,,,,,,,
Evaporiti,D.1 Abiotic|D.1 Abiotic|D.1 Abiotic,sedimentne kamnine|Evaporiti|karbonati,"Evaporiti so sedimentne kamnine, ki so prisotne pod približno 25 odstotki celinskega površja, vendar na površini izdanjajo v manjši meri kakor karbonati.",,,,,,so,sedimentne kamnine,na površini izdanjajo v manjši meri kakor karbonati,,,,ki so prisotne pod približno 25 odstotki celinskega površja,,,,,,,,,,,,,,,ki so prisotne pod,,,,,,,
Evaporiti,D.1 Abiotic|D.3 Property|D.1 Abiotic|D.1 Abiotic|D.3 Property|D.1 Abiotic|B.2 Loss,prenasičene solne raztopine|delne evaporacije|sedimentne kamnine|Evaporiti|popolne|mineralov|izločanjem,"Evaporiti so sedimentne kamnine, ki so nastale z izločanjem mineralov iz prenasičene solne raztopine zaradi popolne ali le delne evaporacije vode.",,,,,,so,sedimentne kamnine,,ki so nastale z izločanjem mineralov iz prenasičene solne raztopine zaradi popolne ali le delne evaporacije vode,,,,,,,,,,,,ki so nastale z,,,,,,,,,,,,,
sadra,D.1 Abiotic|D.1 Abiotic|D.1 Abiotic,evaporitni mineral|sadra|vode,"Najpogostejši evaporitni mineral je sadra, saj se najhitreje izloči iz vode.",,,,,,je,evaporitni mineral,saj se najhitreje izloči iz vode,,,,,,,,,,,,,,,,,,,,,,,,,,
Sadra,B.2 Loss|D.1 Abiotic|D.1 Abiotic|D.1 Abiotic|D.1 Abiotic,evaporaciji|CaSO4.2H2O|Sadra|mineral|vode,"Sadra (CaSO4.2H2O) je mineral, ki se pri evaporaciji prvi izloči iz vode.",,,,,,je,mineral,ki se pri evaporaciji prvi izloči iz vode,,,,,,,,,,,,,,,,,,,,,,,,,,
Marmor,D.1 Abiotic|D.3 Property|D.1 Abiotic|B.4 Transformation|D.1 Abiotic|D.3 Property|D.1 Abiotic,metamorfna kamnina|temperaturi|apnencev|metamorfozo|dolomitov|tlakih|Marmor,"Marmor je metamorfna kamnina, ki nastane z metamorfozo apnencev in dolomitov pri povišanih tlakih in temperaturi.",,,,,,je,metamorfna kamnina,,ki nastane z metamorfozo apnencev in dolomitov pri povišanih tlakih in temperaturi,,,,,,,,,,,,ki nastane z,,,,,,,,,,,,,
Karbonatit,D.1 Abiotic|D.1 Abiotic|D.1 Abiotic,karbonatna magmatska kamnina|magmatska kamnina|Karbonatit,Karbonatit je karbonatna magmatska kamnina. magmatska kamnina,,,,,,je,karbonatna magmatska kamnina,,,,,,,,,,,,,,,,,,,,,,,,,,,
Razpoke,D.3 Property|D.1 Abiotic|D.1 Abiotic,napetosti|Razpoke|kamnini,"Razpoke so presledki v kamnini, ki nastanejo zaradi delovanja napetosti.",,,,,,so,presledki v kamnini,,ki nastanejo zaradi delovanja napetosti,,,v kamnini,,,,,,,,,ki nastanejo zaradi,,,,,,v,,,,,,,
