DEFINIENDUM,DEFINITOR,GENUS,SPECIES,SENTENCE
rast,,Speleogenetska faza,,rast - Speleogenetska faza med prebojem in paragenetskim pragom.
razpoka,,ploskev nezveznosti,,"razpoka - Mehansko nastala ploskev nezveznosti v kamnini, ob kateri je prišlo le do neznatnih premikov. ploskev v kamnini"
razpoklinska poroznost,,,,"razpoklinska poroznost - Hidrogeološki izraz. Delež praznega prostora v določeni prostomini kamnine, ki ga prispevajo odprte razpoke in lezike. v določeni prostomini kamnine"
razpoklinska cona,,,,"razpoklinska cona - Bolj ali manj gost, do več 10O m širok, usmerjen sistem razpok. Premiki ob razpokah so neznatni ali zelo majhni."
rov,,Jamski kanal,,"rov - Jamski kanal brez izrazitih prepadnih odsekov, prehoden človeku. Izvor ni pomemben. kanal"
sifon,,poglobitev,,"sifon - Kolenasta poglobitev jamskega dna, kjer naj bi na krajšo razdaljo podzemska reka tekla ob pritisnjeni gladini."
snovanje,,Speleogenetska faza,,snovanje - Speleogenetska faza med začetjem in prebojem. V času snovanja je tok skozi kanal laminaren.
jamo,definira kot,podzemeljsko votlino,,"Slovenska kraška terminologija (1973) jamo definira kot prehodno podzemeljsko votlino, ki je lahko vodoravna ali navpična."
jamo,opredeljujejo kot|je,naravna podzemna votlina|naravno votlino,,"Prvi jamo opredeljujejo kot vsako naravno votlino v kamnini, ki je prehodna človeku in je vsaj 10 m dolga ali globoka, drugi pa, da je jama naravna podzemna votlina v kamnini, ki je dovolj velika, da je prehodna za človeka (cv: Stepišnik, 2011)."
jama,opredeljujejo kot|je,naravna podzemna votlina|naravno votlino,,"Prvi jamo opredeljujejo kot vsako naravno votlino v kamnini, ki je prehodna človeku in je vsaj 10 m dolga ali globoka, drugi pa, da je jama naravna podzemna votlina v kamnini, ki je dovolj velika, da je prehodna za človeka (cv: Stepišnik, 2011)."
jama,je,naravna votlina,,"Po Jamarski zvezi Slovenije je jama vsaka naravna votlina v kamnini, ki je prehodna človeku in je vsaj deset metrov dolga ali globoka."
jama,V ožjem smislu je|so,podzemna votlina|kraški pojav,,"Jame so najznačilnejši kraški pojav. V ožjem smislu je jama prehodna, pretežno horizontalna podzemna votlina, ravno nasprotno od brezna, ki je navpično (Slovenska kraška terminologija, 1973, str. 8)."
Jame,V ožjem smislu je|so,podzemna votlina|kraški pojav,,"Jame so najznačilnejši kraški pojav. V ožjem smislu je jama prehodna, pretežno horizontalna podzemna votlina, ravno nasprotno od brezna, ki je navpično (Slovenska kraška terminologija, 1973, str. 8)."
Jama,je,votlina,podpobočno jamo|korozijsko|tektonsko|fosilno|brezstropo|obpobočno,"Jama je za človeka prehodna votlina v kraški kamnini. Glede na nastanek ločimo brezstropo, korozijsko, tektonsko, fosilno, obpobočno in podpobočno jamo."
brezstropa jama,označuje,,,"Pojem brezstropa jama tako označuje zadnji stadij razvoja jam. Površinska denudacija razgali nekdanje jamske rove, ki so velikokrat zapolnjeni z avtohtonimi ali alohtonimi sedimenti in na površju dajejo videz plitvih in podolgovatih kotanj."
Brezstropa jama,je,kraški pojav,,"Brezstropa jama je kraški pojav, ki nastane, ko površje zaradi denudacije prereže podzemno votlino."
Kraška polja,so,površinska kraška oblika,,Kraška polja so površinska kraška oblika.
Kraška polja,so,kraške kotanje,,Kraška polja so največje kraške kotanje.
kraškega polja,opredeljujejo pojem,,,"Cvijić je v svojih delih o krasu opredelil tri glavne dejavnike, ki opredeljujejo pojem kraškega polja: podolgovato, uravnano dno z jasno izraženim prehodom v višji obod (Gams, 1973; Gams, 1974)."
kraška polja,sta značilna,,,Za kraška polja sta značilna sklenjen obod nad razmeroma uravnanim obsežnim dnom in kraška hidrologija. 
kraškega polja,je podal|opredelitev,depresija,,"Natančnejšo opredelitev kraškega polja je podal Gams (1973; 1974; 1978) po sledečih kriterijih (Gams, 1978; cv: Ford, Williams, 2007; Gams, 1973: Gams, 1974): uravnano, tudi terasirano dno v živoskalni podlagi oziroma v nesortiranih naplavinah; jasno zaokrožena depresija s strmo vzpenjajočim se obodom vsaj na eni strani polja; kraški odtok; površinske vode na polju ponikajo."
kraška polja,oziroma kot|opredeljuje kot,depresije,,"Novejša definicija kraška polja opredeljuje kot večje, jasno zaokrožene, uravnane depresije s posebnimi pritočnimi in odtočnimi značilnostmi oziroma kot otoke fluvialnega reliefa v krasu."
inicialne strukture,,Geološke strukture,sedimentne teksture|narivne strukture|lezike|špranje|razpoke|prelomnice,"inicialne strukture - Geološke strukture, ki lahko ob primernih pogojih prerastejo v kraške votline. Inicialne strukture so lezike in druge sedimentne teksture, prelomnice in narivne strukture, razpoke, poškodbe in špranje, nastale kot posledica medplastovnih zdrsov. V primeru večfaznega zakrasevanja tudi podedovane speleogene strukture prejšnjih faz."
invazijska jama,,Jama,,"invazijska jama - Jama neprežete cone, kamor visoko nad gladino podtalnice vteka že oblikovan vodotok (ponome jame kontaktnega krasa, odtočne jame ledenikov). Značilen je profil ključavnice. Nasprotje kaminu, ki nastane kot zbiralnik krajevne deževnice. Približno ustreza pojmu požiralnika, ki pa doslej še ni bil tako definiran."
požiralnika,,Jama,,"invazijska jama - Jama neprežete cone, kamor visoko nad gladino podtalnice vteka že oblikovan vodotok (ponome jame kontaktnega krasa, odtočne jame ledenikov). Značilen je profil ključavnice. Nasprotje kaminu, ki nastane kot zbiralnik krajevne deževnice. Približno ustreza pojmu požiralnika, ki pa doslej še ni bil tako definiran."
JAMA,,votlina,kraško votlino,"JAMA (KRAŠKA) - Vsaka naravna votlina v krasu, prehodna človeku. Po kriterijih katastra JZS naj bi bila vsaj 10 m dolga ali globoka. Če je manjša, mora biti jamarjem pomembna iz drugih razlogov. Ohlapen sinonim za kraško votlino."
jamski minerali,,Minerali,paravtohtone|avtohtone|alohtone,"jamski minerali - Minerali, ki jih najdemo v kraških votlinah. Po izvoru ločimo: avtohtone, ki nastajajo iz komponent poljubnega izvora v specifično jamskih razmerah (siga kot svojska oblika kalcita, aragonit, opal), paravtohtone ki so presedimentirani iz matične kamnine (minerali netopnega ostanka oz. njihovi reaktanti), in alohtone, ki so zunanjega izvora in lahko s krasom sploh nimajo zveze. Po analogiji s petrografsko klasifikacijo lahko imamo jamske minerale za drugotne kraške minerale."
jamski splet,,,,"jamski splet - Eden sinonimov za jamski sistem. Izraz sistem, ki ga speleologi uporabljamo v več različnih smislih, v naravoslovju zaradi prodora fizikalne teorije sistemov zgublja prvotno vsebino. Poleg tega uporabljamo sistem pri opisovanju podzemskega krasa v nekoliko različnih, a še vedno preveč podobnih zvezah: (1) kot zapletenejšo jamo; (2) kot skupnost več jam skupnega nastanka, ki jih ne vežejo prehodni rovi; kot skupnost vseh nezveznosti v kamnini, ki "" obratujejo "" kraško; (4) kot sistem v smislu teorije sistemov. V podobnih zvezah kot splet in sistem se uporabljata še izraza sklop in sestav."
jamski sistem,,,,"jamski splet - Eden sinonimov za jamski sistem. Izraz sistem, ki ga speleologi uporabljamo v več različnih smislih, v naravoslovju zaradi prodora fizikalne teorije sistemov zgublja prvotno vsebino. Poleg tega uporabljamo sistem pri opisovanju podzemskega krasa v nekoliko različnih, a še vedno preveč podobnih zvezah: (1) kot zapletenejšo jamo; (2) kot skupnost več jam skupnega nastanka, ki jih ne vežejo prehodni rovi; kot skupnost vseh nezveznosti v kamnini, ki "" obratujejo "" kraško; (4) kot sistem v smislu teorije sistemov. V podobnih zvezah kot splet in sistem se uporabljata še izraza sklop in sestav."
Kalcijev karbonat,,,,"kalcit - Kalcijev karbonat (CaC03). Kristali ditrigonalno skalenoedrično. Najbolj običajna kristalna oblika je romboeder, sicer pa je kalcit mineral z največ znanimi kristalnimi ploskvami. Kalcit kristali neposredno iz vode, v apnencu nastane tudi s kalcitizacijo aragonitnih ogrodij nekaterih organizmov. Kalcit je osnovna sestavina običajne sige, med kamninami apnenca, delno marmorja in karbonatitov. Laboratorijsko je kinematika raztapljanja kalcita že dobro raziskana, kar pa ne velja za kalcit v naravnih razmerah."
kalcit,,,,"kalcit - Kalcijev karbonat (CaC03). Kristali ditrigonalno skalenoedrično. Najbolj običajna kristalna oblika je romboeder, sicer pa je kalcit mineral z največ znanimi kristalnimi ploskvami. Kalcit kristali neposredno iz vode, v apnencu nastane tudi s kalcitizacijo aragonitnih ogrodij nekaterih organizmov. Kalcit je osnovna sestavina običajne sige, med kamninami apnenca, delno marmorja in karbonatitov. Laboratorijsko je kinematika raztapljanja kalcita že dobro raziskana, kar pa ne velja za kalcit v naravnih razmerah."
kamin,,kraška votlina,,"kamin - Navpična kraška votlina, značilna za neprežeto cono. Delo prosto padajoče prenikle vode, ki se zbere v najvišjem delu neprežete cone. Prostorski potek kamina se ravna po navpičnici. Vodoravni preseki manjših kaminov se ravnajo pretežno po inicialnih strukturah, za večje je značilen elipsast presek. Ko denudacija kamin odpre s površja, mu pravimo brezno."
KANAL,,Niz strukturnih segmentov,,"KANAL (JAMSKI) - Niz strukturnih segmentov, ki (je) prevaja isti tok. Osnovni gradnik svežnja. Približen sinonim za rov, vendar slednji predvideva antropogeno najmanjšo dimenzijo, medtem ko pri kanalu te omejitve ni. ki (je) prevaja isti tok"
kontrolni volumen,,,,"kontrolni volumen - Hipotetični blok kraške kamnine, ki služi pri teoretskih razglabljanjih kot vzorčni izsek celotnega speleogenetskega prostora. Imeti mora definirane meje in dimenzije, poznano začetno strukturo kamnine (litopetrografske lastnosti, poroznost, mehanske lastnosti), definirane mejne pogoje (odprt 1 zaprt sistem) in poznane vhodne vrednosti."
KRAS,,,,"KRAS (Pisano z malo začetnico) - K. je eden osrednjih terminov speleološkega izrazoslovja. Definicij k. ni malo, a so si često protislovne in odsevajo ožjo stroko avtorja. Navajava samo nekaj izzivalnih alternativ, ki naj spodbudijo razpravo. M. Este ban in C.F. Klappa (1983, 1 I) sta predložila naslednjo, po lastni oceni geološko definicijo. Prvo podpisani uporabljam pri predmetu geologija krasa fizikalnogeološko: Ena materializacij eksogenega preoblikovanja kontinentalne zemeljske skorje. Značilno je odnašanje snovi v raztopini, zanemarljiva akumulacija in vertikalen odtok padavinskih voda s površja. To se odraža v oblikovanju zaprtih globeli in kopastih vrhov ter v opazni kanalski poroznosti. Poleg splošnih pogojev za nastanek kakršnihkoli površinskih oblik pogojujejo nastanek krasa sorazmerno hitro in enakomerno topna matična kamnina (kraške kamnine), možnost nastajanja zveznih podzemskih kanalov in dovolj obilne padavine."
KRAS,,predelov,,"KRAS (Jamarska definicija) - Eden predelov na Zemlji, kjer najdemo človeku prehodne votline, daljše ali globlje od 10 m. Jamarska definicija verjetno ne more biti dosti drugačna, saj v nekaterih evropskih deželah raziskovanje opuščenih rudnikov, podzemskih kamnolomov, katakomb in "" jam "" pod ledeniki pretehta klasično jamarstvo v kraškem pozemlju. Najgloblja jama ZDA (Kazumura Cave na Havajih), ki je obenem jama z največjo znano horizontalno razdaljo med skraj nima točkama, je lavina cev. S slovenskim pojmovanjem krasa ima vse to kaj malo skupnega. na Zemlji"
kraška faza,,Obdobje,,"kraška faza - Obdobje zakrasevanja v sorazmerno stabilnih hidrogeoloških razmerah med dvema regionalnima tektonskima dogodkoma. V območju svežnja tedaj vladajo stabilni pogoji. Posamezni kraški fazi naj bi ustrezal en sveženj, kar pa ni potrjeno. V času nove kraške faze voda uporabi predvsem že obstoječe razpoložljive kraške votline in aktivira tiste začetne horizonte in odprte geološke strukture, ki najbolj ustrezajo spremenjenim razmeram. Po analogiji z geologijo uporabljajo nekateri namesto kraške faze, izraz kraški dogodek. Termin ni prikladen v toliko, ker je podoben izrazu tektonski dogodek, speleogenetski in tektonski čas pa tečeta vsak po svoje."
kraška poroznost,,Delež praznega prostora,,"kraška poroznost - Delež praznega prostora v določeni prostornini kamnine, ki ga prispevajo kraške votline. V nasprotju s splošnim prepričanjem je kraška poroznost tudi tam, kjer je kamnina močno zakrasela, v primerjavi z razpoklinsko poroznostjo majhna. O kraški poroznosti govorimo, kadar imajo kanali (odtod sinonim kanalska poroznost) bistven vpliv na način in količino pojavljanja vode v kamnini."
kraška votlina,,votlina,speleogen,"kraška votlina - Poljubno oblikovana votlina, nastala s procesi, ki jih definiramo kot kraške. Ne podlega velikostnemu kriteriju, ki opredeljuje kraško jamo, je pa večja od dimenzije preboja. Ohlapen sinonim za speleogen."
kraške kamnine,,Kamnine,sedimentne kraške kamnine|Metamorfne kraške kamnine,"kraške kamnine - Kamnine, na katerih se ob izpolnitvi drugih potrebnih pogojev lahko razvije kras. Zato niso definirane genetsko, temveč funkcionalno. Osnovne lastnosti kraške kamnine so, da so topne brez ostanka, katerega delci bi po velikosti presegali dimenzije začetnih vodnih poti, da ne prihaja do Zogovicevega efekta in da so regionalno zaznavno topne med dvema regionalnima tektonskima dogodkoma. Daleč najbolj so razširjene sedimentne kraške kamnine: karbonati (apnenci, dolomiti in njihovi klastiti), sulfati, haloidi, v posebnih razmerah kremenovi peščenjaki. Metamorfne kraške kamnine so marmorji, pogojno kvarciti; magmatske karbonatit peščenjaki"
speleofakt,,speleološka struktura,speleogeni|speleotemi,"speleofakt - Vsaka speleološka struktura, nastala kot neposredna ali posredna posledica nadomeščanja trdne faze s tekočo in posledično lete s tekočo, plinasto ali sekundarno trdno fazo. Speleofakti so speleogeni in speleotemi."
speleogen,,Speleofakt,,"speleogen - Speleofakt, ki nastane z odnašanjem matične kamnine, ob delovanju procesov, kijih definiramo kot kraške. Kraška votlina v najširšem smislu."
speleogenetska faza,,Časovno obdobje,,"speleogenetska faza - Časovno obdobje, v katerem vladajo v svežnju oz. kanalih stalne hidrodinamske razmere, na katere se oblikovanje kanala odziva na značilen način."
speleogenetski prostor,,,,"speleogenetski prostor - Del kamninskega masiva, v katerem lahko nastanejo ali so že nastale kraške votline."
speleološki objekt,,kraško votlino,,"speleološki objekt - Sinonim za individualno, človeku prehodno kraško votlino, modrejši izraz ja jamo. Dobesedno bi speleološki objekt pomenil raziskovalni predmet speleologije, vendar se v tem smislu ne uporablja."
speleotem,,,,"speleotem - Produkt kateregakoli procesa, ki dovaja trdno fazo v kraško votlino in nadomešča speleogen. V ožjem smislu siga."
tunelski rov,,Rov,,"tunelski rov - Rov v epifreatični coni, ki po obliki spominja na predor. Nastane za ponori večjih alogenih tokov, v manjšem obsegu kot učinek Gospo­daričevega efekta v avtigenem okolju."
turbulentni tok,,,,"turbulentni tok - Vrtinčast način pretakanja tekočine, pri katerem se tokovnice prepletajo. To se dogaja pri hitrostih, večjih od 10 · 3 m / s. Navadno se pojavi v kanalih večjih od 51 O mm. Turbulentni tok traja od preboja do paragenetskega praga, pa tudi onkraj njega. Kriterij je Re > 3000."
začetje,,speleogenetska faza,,"začetje - Najzgodnejša speleogenetska faza, ko se "" zapiše "" prihodnji potek kanala (ov). Tedaj nastane med časom / krajem, kjer doslej ni bilo speleogenetske aktivnosti, laminaren tok. Praviloma se začetje odvije ob leziki. Bistveni faktorji začetja še niso povsem znani, zdi pa se, da odločajo večje liološke razlike med skladoma (transbedding contrast), navzočnost pelitov ali navzočnost pirita oz. organske snovi. Kaže, da se začetje mnogokrat izvrši že v času diageneze."
začetni horizont,,Ploskev,,"začetni horizont - Ploskev v kamninski skladovnici, kjer se lahko (ali se je že) izvrši (lo) začetje. Terenske raziskave kažejo, da so to jasno določljive lezike, redkeje oblične ploskve. V doslej preiskanih jamah (Škocjanske, Najdena, Friar's Hole) se kaže, da ima lastnosti z. h. manj kot 10% vseh lezik v kamninskem paketu."
zajeda,,polvotlina,,"zajeda - Predvsem korozijska polvotlina v navpični steni med dvema plastema oziroma znotraj plasti, ki nima povezave z mrežo jamskih kanalov. Ni kraški pojav v pravem smislu besede."
zbirni kanali,,Kanali,,"zbirni kanali - Kanali manjših dimenzij v zgornjem delu neprežete cone. Še razpršeno preniklo (padavinsko) vodo zbirajo v večje curke, ki lahko prosto padejo in oblikujejo kamine. Ob stiku z epikrasom so zbirni kanali večkrat spužvasti (anastomozni)."
zgodnjediagenetski kras,,Kras,,"zgodnjediagenetski kras - Kras, ki nastane v času zgodnje diageneze z raztapljanjem (korozijo) povsem ali delno strjenega apnenca. Votline zapolni mlajši karbonatni material (karbonatno blato), sparitni kalcit (kokardne teksture), glineni material, pa tudi breče, ki nastanejo s porušenjem stropov teh jam. Zgodnjediagenetski kras nastane vrh sladkovodne leče oz. vzdolž haloklinale v morskih grebenih in atolih. grebenih"
Zogovičev efekt,,,,"Zogovičev efekt - Lastnost dolomita (kamnine), da se v gotovih razmerah ne raztaplja frontalno, temveč parcialno. To je lahko posledica nepopolne dolomitizacije apnenca ali pa mehanske neodpornosti dolomita na tektonske poškodbe."
gobasti balvani,,,,"Posamezni gobasti balvani, imenovani tudi kraške mize, so zaščitili apneniško podlago pod sabo pred dežjem in korozijo in se zato po zadnji ledeni dobi sčasoma relativno dvignili nad okolico."
kraške mize,,,,"Posamezni gobasti balvani, imenovani tudi kraške mize, so zaščitili apneniško podlago pod sabo pred dežjem in korozijo in se zato po zadnji ledeni dobi sčasoma relativno dvignili nad okolico."
Jame,so,bivališča,,"Jame so bivališča vil, divjih žena, ajdov, velikanov, pritlikavcev, divjakov in podobno."
skedenj,imenujejo,votline,,"Manjše votline narečno imenujejo lisičina, brlog, rupa, luknja, kevderc, frlinka, jazbina, polšna, kamra, skedenj."
lisičina,imenujejo,votline,,"Manjše votline narečno imenujejo lisičina, brlog, rupa, luknja, kevderc, frlinka, jazbina, polšna, kamra, skedenj."
rupa,imenujejo,votline,,"Manjše votline narečno imenujejo lisičina, brlog, rupa, luknja, kevderc, frlinka, jazbina, polšna, kamra, skedenj."
kevderc,imenujejo,votline,,"Manjše votline narečno imenujejo lisičina, brlog, rupa, luknja, kevderc, frlinka, jazbina, polšna, kamra, skedenj."
kamra,imenujejo,votline,,"Manjše votline narečno imenujejo lisičina, brlog, rupa, luknja, kevderc, frlinka, jazbina, polšna, kamra, skedenj."
brlog,imenujejo,votline,,"Manjše votline narečno imenujejo lisičina, brlog, rupa, luknja, kevderc, frlinka, jazbina, polšna, kamra, skedenj."
frlinka,imenujejo,votline,,"Manjše votline narečno imenujejo lisičina, brlog, rupa, luknja, kevderc, frlinka, jazbina, polšna, kamra, skedenj."
polšna,imenujejo,votline,,"Manjše votline narečno imenujejo lisičina, brlog, rupa, luknja, kevderc, frlinka, jazbina, polšna, kamra, skedenj."
jazbina,imenujejo,votline,,"Manjše votline narečno imenujejo lisičina, brlog, rupa, luknja, kevderc, frlinka, jazbina, polšna, kamra, skedenj."
luknja,imenujejo,votline,,"Manjše votline narečno imenujejo lisičina, brlog, rupa, luknja, kevderc, frlinka, jazbina, polšna, kamra, skedenj."
jama,pomeni,votlino|brezno,,"Beseda jama lahko pomeni vodoravno votlino ali pa brezno, ki se poglablja navzdol."
zvonasto brezno,,,,"Nasprotje lijakastemu breznu je zvonasto brezno, ki se širi navzdol."
vrtačo,kot|definira,kotanjo,,"Ameriška kraška terminologija Monroe, 1970 definira vrtačo kot kotlasto ali lijakasto kotanjo v apnencu, s premerom do enega kilometra širine in globino od nekaj do več sto metrov."
lokev,so imenovali,Umetno mlako,,"Umetno mlako so imenovali kal, ponekod tudi lokev ali lokva."
lokva,so imenovali,Umetno mlako,,"Umetno mlako so imenovali kal, ponekod tudi lokev ali lokva."
kal,so imenovali,Umetno mlako,,"Umetno mlako so imenovali kal, ponekod tudi lokev ali lokva."
piezometrična gladina,je,Zgornja meja,,"Zgornja meja epifreatične cone je piezometrična gladina katastrofalno visoke vode, spodnjo pa določa gladina vode ob izredni suši."
epifreatična cona,imenujemo,Pas,,Pas med najvišjo in najnižjo piezometrično vodno gladino imenujemo epifreatična cona.
Kontaktni kras,je,območje,,Kontaktni kras je območje aktivnega hidrološkega stika med fluvialnim in kraškim geomorfnim sistemom.
Siga,je,kemična usedlina,,Siga je kemična usedlina.
Ponvice,so,pregrade,,"Ponvice so pregrade iz kalcijevega karbonata, velike od nekaj milimetrov do nekaj metrov."
Radon,je,plin,,Radon (Rn) je radioaktivni žlahtni plin brez vonja in barve. žlahtni plin
Speleogeneza,je,proces,izginjanja jam|nastajanja|razvoja,"Speleogeneza je proces nastajanja, razvoja in izginjanja jam."
spodmol,,previs,,"abri: Skalni previs, ki ga je lahko izkoriščal človek za zavetje. Poljama, spodmol s širokim portalom. previs"
Poljama,,previs,,"abri: Skalni previs, ki ga je lahko izkoriščal človek za zavetje. Poljama, spodmol s širokim portalom. previs"
abri,,previs,,"abri: Skalni previs, ki ga je lahko izkoriščal človek za zavetje. Poljama, spodmol s širokim portalom. previs"
agresivna voda,,Voda,,"agresivna voda: Voda, ki vsebuje nevezano ogljikovo, humozno, dušikovo ali druge kisline ter je še sposobna raztapljati karbonatno kamnino. V krasoslovju voda, ki je sposobna korodirati."
alogena voda,,Voda,,"alogena voda: Voda, ki priteka na kraško površje ali v podzemlje z nekraškega sveta."
apnenec,,Sedimentna kamnina,apneniški dolomit|dolomitizirani apnenec,"apnenec: Sedimentna kamnina, sestavljena pretežno iz kalcijevega karbonata. Kraška literatura deli apnenec zlasti po zrnavosti (drobnozrnati - mikriti, debelozrnati - spariti), po zlogu, po deležu magnezijevega karbonata (dolomitizirani apnenec, apneniški dolomit), po skladovitosti itd. kamnina"
antropospeleologija,,Veda,,"antropospeleologija: Veda, ki preučuje zveze med človekom in jamo. V ožjem smislu veda o jamskem pračloveku."
aragonit,,Kalcijev karbonat,,"aragonit: Kalcijev karbonat iste sestave kot kalcit, le da kristalizira rombično. Navadno vsebuje manjšo primes stroncija SrCO3. V naših jamah običajno nastopa v obliki igličastih kristalov. Prim. aragonitna jama."
artefakt,,orodja,,artefakt: Kos predhistoričnega orodja iz kamna ali kosti.
barvanje kraške vode,,,,"barvanje kraške vode, sledenje: Določevanje sklenjenosti kraške vode. V ožjem smislu obarvanje ponirajoče vode z namenom, da bi ugotovili njen ponovni iztok. V širšem smislu vsako določevanje podzemeljskih vodnih zvez s kemičnimi, biološkimi in fizikalnimi sredstvi."
sledenje,,,,"barvanje kraške vode, sledenje: Določevanje sklenjenosti kraške vode. V ožjem smislu obarvanje ponirajoče vode z namenom, da bi ugotovili njen ponovni iztok. V širšem smislu vsako določevanje podzemeljskih vodnih zvez s kemičnimi, biološkimi in fizikalnimi sredstvi."
biospeleologija,,Znanost,,"biospeleologija: Znanost o živih bitjih v jamah, v širšem smislu v podzemlju sploh. v jamah v podzemlju"
boksit,,Usedlina,,"boksit: Usedlina, sestavljena v pretežni meri iz aluminijevih hidroksidov. Ta aluminijeva ruda je rezultat preperevanja apnenca v vlažni tropski ali subtropski klimi."
brezno,,votlina,,"brezno: Navpična ali strma votlina, bolj globoka kot široka, ki se ji ne vidi dna, “ brez dna ”. V nekaterih kraških predelih Slovenije lj. jama."
jama,,votlina,,"brezno: Navpična ali strma votlina, bolj globoka kot široka, ki se ji ne vidi dna, “ brez dna ”. V nekaterih kraških predelih Slovenije lj. jama."
požiralno brezno,,Brezno,,"ponorno brezno, požiralno brezno: Brezno, v katerega ponika voda."
ponorno brezno,,Brezno,,"ponorno brezno, požiralno brezno: Brezno, v katerega ponika voda."
izvirno brezno,,,,izvirno brezno: Iz njega voda izvira.
vodokazno brezno,,Brezno,,"vodokazno brezno: Brezno, v katerem vodna gladina koleba skladno s širšo gladino (nivojem) kraške vode in je zato njen kazalec. gladina vode"
lijakasto brezno,,,,lijakasto brezno: Je podobno lijaku in se navzdol oži.
ponornica,,Vodni tok,,"ponikalnica, ponornica: Vodni tok, ki ponikne v kraško podzemlje."
ponikalnica,,Vodni tok,,"ponikalnica, ponornica: Vodni tok, ki ponikne v kraško podzemlje."
ponikev,,Odprtina,,"ponikev, ponikva: Odprtina, kamor se izgublja voda. Priporočljiv pomen za ponikev: ponikanje vodnega toka v odprtino, večidel prekrito z naplavino, v nasprotju s ponikanjem v jamo (ponor), ali špranjo v skali (požiralnik) (Primer: ponikev Temenice pri vasi Ponikve)."
ponikva,,Odprtina,,"ponikev, ponikva: Odprtina, kamor se izgublja voda. Priporočljiv pomen za ponikev: ponikanje vodnega toka v odprtino, večidel prekrito z naplavino, v nasprotju s ponikanjem v jamo (ponor), ali špranjo v skali (požiralnik) (Primer: ponikev Temenice pri vasi Ponikve)."
ponor,,odprtina,,"ponor: Večja odprtina, v kateri ponika voda. Priporočljiv pomen: večja vodoravna luknja (jama), v katero teče potok ali reka (na primer vtok Pivke v Postojnsko jamo)."
jezerski ponor,,Ponor,,"jezerski ponor: Ponor na obali ali jezerski kotanji, v katerega teče voda iz jezera. kotanji"
požiralnik,,Mesto izgubljanja vode,,"požiralnik: Mesto izgubljanja vode v kraško podzemlje. Priporočljiv pomen: špranja ali brezno v skalnem koritu, ki požira vodo."
profil jamskega rova,,,kupolasti ( svodasti|špranjasti|lečasti|pravokotniški|sodasti|kvadratasti|trapezasti|okroglasti,"prečni profil, profil jamskega rova: Oblika jamskega rova v prečnem preseku. Po podobnosti z geometrijskimi liki ločimo okroglasti, sodasti, pravokotniški, kvadratasti, trapezasti, kupolasti (svodasti), lečasti, špranjasti (itd.) prečni profil."
prečni profil,,,kupolasti ( svodasti|špranjasti|lečasti|pravokotniški|sodasti|kvadratasti|trapezasti|okroglasti,"prečni profil, profil jamskega rova: Oblika jamskega rova v prečnem preseku. Po podobnosti z geometrijskimi liki ločimo okroglasti, sodasti, pravokotniški, kvadratasti, trapezasti, kupolasti (svodasti), lečasti, špranjasti (itd.) prečni profil."
Gravitacijski vodni tok,,,,"Gravitacijski vodni tok oblikuje gravitacijski prečni profil. Zanj so značilne stene, ravno dno in svodast strop. stene, ravno dno in svodast strop"
Eforacijski tok,,,,"Eforacijski tok oblikuje eforacijski prečni profil. Zanj so značilne okroglaste oblike in je značilen za rove, ki so nastali s pretokom vode pod tlakom."
predkraška faza,,Doba,,"predkraška faza: Doba v razvoju površja pred začetkom zakrasevanja, ko je vladal na površju rečni (normalni) relief. Besedo uporabljajo takrat, kadar je tej fazi sledila kraška faza oziroma nastajanje krasa."
vodna prepustnost,,,,"propustnost, vodna prepustnost, vodoprepustnost: Stopnja prepustnosti kraške kamnine. Določujejo jo z izgubljanjem vode v določenem časovnem razmaku in pod določenim pritiskom na meter dolžine vrtine v kraški kamnini."
vodoprepustnost,,,,"propustnost, vodna prepustnost, vodoprepustnost: Stopnja prepustnosti kraške kamnine. Določujejo jo z izgubljanjem vode v določenem časovnem razmaku in pod določenim pritiskom na meter dolžine vrtine v kraški kamnini."
propustnost,,,,"propustnost, vodna prepustnost, vodoprepustnost: Stopnja prepustnosti kraške kamnine. Določujejo jo z izgubljanjem vode v določenem časovnem razmaku in pod določenim pritiskom na meter dolžine vrtine v kraški kamnini."
presihajoče jezero,,Jezero,,"presihajoče jezero: Jezero, ki se občasno presuši."
nekraška vrtača,,Vrtačasta oblika|oblika,,"Psevdovrtača, nekraška vrtača: Vrtačasta oblika v nekarbonatni kamnini. oblika"
Psevdovrtača,,Vrtačasta oblika|oblika,,"Psevdovrtača, nekraška vrtača: Vrtačasta oblika v nekarbonatni kamnini. oblika"
Psevdokras,,netipičen kras|kras,,"Psevdokras:. Lažni, nepravi kras. Kraški pojavi v nekarbonatnih kamninah (lavi, soli). Tudi netipičen kras."
nekraška škraplja,,Škraplja,,"psevdoškraplja, nekraška škraplja: Škraplja v nekarbonatni kamnini."
psevdoškraplja,,Škraplja,,"psevdoškraplja, nekraška škraplja: Škraplja v nekarbonatni kamnini."
rov,,,,"rov: Del jame ali brezna, neglede na dimenzije in oblike. V ožjem smislu enakomerno širok cevast rov."
Matični kras,,Kras,,"Matični kras: Kras kraške pokrajine med Tržaškim zalivom in Vipavsko dolino v regiji, ki jo imenujemo Kras in katere ime je prešlo v krasoslovno terminologijo kot geomorfološki termin."
Vrtača,je,kotanja,,"Vrtača je kotanja, navadno globoka več metrov, in je bolj široka kot globoka."
