DEFINIENDUM,DEFINITOR,GENUS,SPECIES,SENTENCE
karst valley,,Valley,,karst valley: Valley produced by collapse of a cavern roof.
karst window,,Depression,,"karst window: Depression revealing a part of a subterranean river flowing across its floor, or an unroofed part of a cave."
karst window,,natural bridge,,karst window: A small natural bridge or arch which can be seen through.
karstification,,Action,,"karstification: Action by water, mainly chemical but also mechanical, that produces features of a karst topography, including such surface features as dolines, Karren, and mogotes and such subsurface features as caves and shafts."
karstland,,region,,karstland: A region characterized by karst topography.
katavothron,,,,katavothron: A closed depression or swallow hole.
Kegelkarst,,karst,,"Kegelkarst: A general term used to describe several types of tropical humid karst characterized by numerous, closely spaced hemispherical -, or tower-shaped hills having intervening closed depressions and narrow steep-walled karst valleys or passageways."
keyhole,,passage,,"keyhole: A small passage or opening in a cave; in cross section, rounded at the top, constricted in the middle, and rectangular or flared out below."
knobstone,,Speleothem,,"knobstone: Speleothem, larger, more pronounced, and more widely separated than cave coral."
kras,,,,"kras, krš: A Slavic word meaning bleak, waterless place, from which the term karst is derived. Synonym: karst."
krš,,,,"kras, krš: A Slavic word meaning bleak, waterless place, from which the term karst is derived. Synonym: karst."
level,,,,"level: Within a cave, a group of passages developed in the same horizontal plane."
level,,,,level: The altitudinal relation of a cave floor to an outside surface.
light hole,,swallow hole,,light hole: Fossil or abandoned swallow hole.
limestone,,rock,,"limestone: A sedimentary rock consisting chiefly of calcium carbonate, CaCO"
chamber,,cavity,,"chamber - the largest order of cavity in a cave, with considerable width and length but not necessarily great height."
choke,,cave fill|rock debris,,choke - rock debris or cave fill blocking part of a cave.
column,,speleothem,,"column - a speleothem from floor to ceiling, formed by the growth and joining of a stalactite and a stalagmite, or by the growth of either to meet bedrock."
conduit,,stream course|passage,,conduit - an underground stream course completely filled with water and under hydrostatic pressure or a circular or elliptical passage inferred to have been such a stream course.
corrosion,,wearing away of bedrock,,"corrosion - the wearing away of bedrock or loose sediment by mechanical action of moving agents, especially water."
curtain,,speleothem,,"curtain - a speleothem in the form of a wavy or folded sheet, often translucent and resonant, hanging from the roof or wall of a cave."
dark zone,,part of a cave,,dark zone - the part of a cave which daylight does not reach.
decomposers,,living things,bacteria|fungi,"decomposers - living things, chiefly bacteria and fungi, that subsist by extracting energy from tissues of dead animals and plants.detritivore organisms which feed on organic detritus, such as the dead parts of plants or the dead bodies and waste products of animals."
doline,,depression,dish-shaped|cylindrical|bowl|conical,"doline - a closed depression draining underground in karst, of simple but variable form, e.g., cylindrical, conical, bowl - or dish-shaped. from a few to many hundreds of metres in dimension."
dolomite,,mineral,,dolomite - a mineral consisting of the double carbonate of magnesium and calcium.
dome,,hollow,,"dome - a large hemispheroidal hollow in the roof of a cave, formed by breakdown and / or salt weathering, generally in mechanically weak rocks, which prevents bedding and joints dominating the form."
driphole,,hole,,driphole - a hole formed by water dripping onto the cave floor. cave floor
dripline,,line on the ground,,"dripline - a line on the ground at a cave entrance formed by drips from the rock above, useful in cave survey to define the beginning of the cave."
dripstone,,deposit,,"dripstone - a deposit formed from drops falling from cave roofs or walls, usually of calcite."
dry cave,,cave,,"dry cave - a cave without a running stream, also dead cave."
dead cave,,cave,,"dry cave - a cave without a running stream, also dead cave."
Colluvial transport,is,movement of sediments,,Colluvial transport is down-slope movement of sediments without the assistance of water.
Stalactites,are,,,"Stalactites are centimeter to meter in scale, hanging from the ceiling and growing toward the cave floor."
Stalagmitic flowstones,are a particular type of|are a,stalagmite,,"Stalagmitic flowstones are a particular type of stalagmite formed by a thin flowing film of water itself fed by groups of dripping stalactites, and coat the cave floor and walls. are a"
Soda straws,are,speleothems,,"Soda straws are speleothems generated by axial feeding, and characterized by a central canal with constant diameter and by a wall structure that is controlled by geometric selection during growth on the meniscus of a drip."
Stalagmites,are,deposits,,"Stalagmites are convex deposits that grow upward, commonly fed by an overhanging stalactite, and show flat, rounded, or slightly hollow tops, but not a central canal."
sinkhole,,,,"In order for a sinkhole to form in the first place, there are three requirements: a drainage path for the surface water runoff to follow; a zone of bedrock modified by solution located at or near the surface; and a covering of soil or some other material making up the land surface (this last is not an absolute requirement; when that cover is absent, certain types of sinkholes can still form)."
swallow holes,are,point,,"Also known as ponors, swallow holes are the point at which a sinking stream heads underground."
ponors,are,point,,"Also known as ponors, swallow holes are the point at which a sinking stream heads underground."
Swallow holes,are,drainage features,,"Swallow holes are surface drainage features that direct runoff into an underground channelóin other words, they are sinkholes that form in a stream bed, often with a large vertical shaft beneath."
polje,signifies,large plain|field,,"The word polje signifies a field or a large plain, and it is still widely used in Slav languages without particular reference to karstic terrain (Sweeting 1972, Roglič 1974), although poljes in the karst of Slovenia are usually called dolina or dol (Gams 1994)."
pepino,,,,"The word ‘ tower ’ therefore subsumes a myriad of forms, and a variety of terms in different languages has been used to describe them, including turm, mogote, cone, piton, hum and pepino."
turm,,,,"The word ‘ tower ’ therefore subsumes a myriad of forms, and a variety of terms in different languages has been used to describe them, including turm, mogote, cone, piton, hum and pepino."
piton,,,,"The word ‘ tower ’ therefore subsumes a myriad of forms, and a variety of terms in different languages has been used to describe them, including turm, mogote, cone, piton, hum and pepino."
mogote,,,,"The word ‘ tower ’ therefore subsumes a myriad of forms, and a variety of terms in different languages has been used to describe them, including turm, mogote, cone, piton, hum and pepino."
cone,,,,"The word ‘ tower ’ therefore subsumes a myriad of forms, and a variety of terms in different languages has been used to describe them, including turm, mogote, cone, piton, hum and pepino."
tower,,,,"The word ‘ tower ’ therefore subsumes a myriad of forms, and a variety of terms in different languages has been used to describe them, including turm, mogote, cone, piton, hum and pepino."
hum,,,,"The word ‘ tower ’ therefore subsumes a myriad of forms, and a variety of terms in different languages has been used to describe them, including turm, mogote, cone, piton, hum and pepino."
Breccia pipes,are,features,,Breccia pipes are common features of gypsum karst that are created by progressive stoping above sites of interstratal dissolution.
Gypsum tumuli,are,hollow domes,,"Gypsum tumuli (bubbles or tents) are hollow domes of freshly formed gypsum that are round or elliptical in plan (Breish and Wefer 1981, Pulido-Bosch 1986, Macaluso and Sauro 1996)."
tents,are,hollow domes,,"Gypsum tumuli (bubbles or tents) are hollow domes of freshly formed gypsum that are round or elliptical in plan (Breish and Wefer 1981, Pulido-Bosch 1986, Macaluso and Sauro 1996)."
bubbles,are,hollow domes,,"Gypsum tumuli (bubbles or tents) are hollow domes of freshly formed gypsum that are round or elliptical in plan (Breish and Wefer 1981, Pulido-Bosch 1986, Macaluso and Sauro 1996)."
rillensteine,are,Clasts,,Clasts with microrills are rillensteine (Laudermilk and Woodford 1932).
Solution runnels,are,channels,,"Solution runnels are normal Hortonian channels, heading where sheetflow or wash on a slope breaks down into linear threads."
Solution dolines,are,feature of karst,,"Solution dolines are a common feature of karst in humid areas, yet not all carbonate rocks support them."
Pinnacle karst,is a,landform,,"Pinnacle karst is a spectacular small-scale landform found principally in the humid tropics and subtropics, with the best known examples coming from Gunung Api, Mulu, and Mount Kaijende, New Guinea."
Caves,are,natural museums,,"Caves are natural museums, preserving important archaeological evidence as well as sediments and deposits that provide clues to past environments."
Blue holes,are,vertical openings,,"Blue holes are water-filled vertical openings in the carbonate rock of the islands, which exhibit complex morphologies, ecologies, and water chemistries."
Blue holes,,,,"Blue holes are the composite result of carbonate deposition and dissolution cycles, which have been controlled by glacial sea-level fluctuations."
blue hole,are best defined as,subsurface voids,,"The term “ blue hole ” has been used in a variety of ways, but they are best defined as: “ subsurface voids that are developed in carbonate banks and islands; are open to the Earth ’ s surface; contain tidally influenced waters of fresh, marine, or mixed chemistry; extend below sea-level for a majority of their depth; and may provide access to submerged cave passages."
Carbon dioxide,,,,Carbon dioxide in aqueous solution is a critical component in both the solution and precipitation of speleothems and the solution of limestone.
Diagenesis,is a term describing,processes,cementation|compaction,"Diagenesis is a term describing processes of compaction and / or cementation of the initially unconsolidated carbonate mud and debris (Moore, 2001). compaction and / or cementation of the initially unconsolidated carbonate mud and debris"
Dolostone,is a,product of diagenesis,,Dolostone is a major product of diagenesis.
inflow cave,,Cave,,"inflow cave, influent cave: Cave into which a stream flews or formerly entered."
influent cave,,Cave,,"inflow cave, influent cave: Cave into which a stream flews or formerly entered."
aven,,Vertical,,"jama: Vertical or steeply inclined shaft in limestone, known as abime or aven in France and as pothole in England."
pothole,,Vertical,,"jama: Vertical or steeply inclined shaft in limestone, known as abime or aven in France and as pothole in England."
abime,,Vertical,,"jama: Vertical or steeply inclined shaft in limestone, known as abime or aven in France and as pothole in England."
jama,,Vertical,,"jama: Vertical or steeply inclined shaft in limestone, known as abime or aven in France and as pothole in England."
joint-plane cave,,cavity,,joint-plane cave: A cavity high in relation to width developed along steeply dipping joint planes.
Karren,,furrows|Channels,,"Karren: Channels or furrows, caused by solution on massive bare limestone surfaces; they vary in depth from a few millimeters to more than a meter and are separated by ridges."
Rillenkarren,,Karren,,"Rillenkarren: Type of Karren, shallow channels separated by sharp ridges 2 - 3 centimeters apart."
Rinnenkarren,,Karren,,"Rinnenkarren: Type of Karren, flat-bottomed grooves several centimeters apart."
Kluftkarren,,Karren,,Kluftkarren: Type of Karren; joints enlarged by solution.
Spitzkarren,,Karren,,"Spitzkarren: Type of Karren, large deep grooves extending down from steep spires or pinnacles."
Meanderkarren,,Karren,,"Meanderkarren: Type of Karren, small winding or meandering channels."
Rundkarren,,Karren,,"Rundkarren: Karren having rounded channels and intervening rounded ridges, probably reexhumed after formation under soil or peat."
Fachkarren,,Karren,,"Fachkarren: Type of Karren, equivalent to English clint."
Bodenkarren,,Karren,,"Bodenkarren: Karren formed beneath the soil. Synonym, lapils."
Karrenfeld,,,,Karrenfeld: An area of limestone dominated by Karren.
karst,,terrain,Spitz - kegelkarst|Kegel - karst|cone karst|covered karst|syngenetic karst|buried karst|exhumed karst|tower karst|subjacent karst|naked karst|paleokarst|merokarst|holokarst|thermokarst|microkarst|Halbkugelkarst|pseudokarst,"karst: A terrain, generally underlain by limestone, in which the topography is chiefly formed by the dissolving of rock, and which is commonly characterized by Karren, closed depressions, subterranean drainage, and caves. See also buried karst; cone karst; covered karst; exhumed karst; Halbkugelkarst; holokarst; Kegel - karst; merokarst; microkarst; naked karst; paleokarst; pseudokarst; Spitz - kegelkarst; subjacent karst; syngenetic karst; thermokarst; tower karst."
karst barre,,karst,,karst barre: A karst of limited area completely surrounded by rocks of low permeability.
karst base level,,,,karst base level: Level below which karstification does not take place.
karst bridge,,,,karst bridge: A natural bridge or arch in limestone.
karst fens,,,,karst fens: Marshes developed in sinkhole terrain; swampy solution fens.
karst lake,,,,karst lake: A large area of standing water in extensive closed depression in limestone.
karst margin plain,,plain,,"karst margin plain: A plain generally on limestone between higher country of limestone on one side and of less pervious rocks on the other, but having a cover of impervious detritus, which allows surface drainage. Synonym, Karstrandebene. on"
karst plain,,plain,,"karst plain: A plain on which closed depressions, subterranean drainage, and other karst features may be developed. Also called karst plateau."
karst pond,,Closed depression,,karst pond: Closed depression in a karst area containing standing water.
karst river,,river,,karst river: A river that originates from a karst spring.
travertine,,"Calcium carbonate , CaCO2",,"travertine: Calcium carbonate, CaCO2, light in color and generally concretionary and compact, deposited from solution in ground and surface waters. Extremely porous or cellular varieties are known as calcareous tufa, calcareous sinter, or spring deposit. Compact banded varieties, capable of taking a polish, are called onyx marble or cave onyx."
tube,,cave passage,,tube: A smooth-surfaced cave passage of elliptical or nearly circular cross section.
turlough,,depression,,turlough: A depression in limestone or in glacial drift over limestone that is liable to flood either from excess surface runoff or from rising ground water.
uvala,,depression,,uvala: Large closed depression formed by the coalesence of several dolines; compound doline. depression
vadose water,,Water,,vadose water: Water ir the zone of aeration; water above the zone of saturation. aeration saturation
valley sink,,depression,,valley sink: An elongated closed depression or series of interconnecting depressions forming a valleylike depression.
vauclusian spring,,spring|exsurgence,,"vauclusian spring: A large spring or exsurgence of an underground river, generally from limestone, that varies greatly in output and is impenetrable except with diving apparatus. Synonym: gushing spring."
gushing spring,,spring|exsurgence,,"vauclusian spring: A large spring or exsurgence of an underground river, generally from limestone, that varies greatly in output and is impenetrable except with diving apparatus. Synonym: gushing spring."
wall slab,,block of rock,,"wall slab: A thin but large block of rock, which has fallen outward from the wall of a cave in limestone in which the dip is nearly vertical."
water trap,,,,water trap: A place where the roof of a chamber or passage of a cave dips under water but lifts again farther on. Synonym: trap.
well,,shaft or hole,,"well: A shaft or hole sunk into the earth to obtain water, oil, gas, or minerals."
well,,hole or shaft,,well: A deep vertical rounded hole or shaft in the floor of a cave or at the bottom of a closed depression. deep vertical rounded
window,,natural opening,,"window: In speleology, a natural opening above the floor of a passage or a room, giving access to an adjoining cavity or to the surface; larger and less symmetrical than a porthole."
window,,opening,,window: The opening under the arch of a small natural bridge. small natural
zanjon,,solution trench,,"zanjon: In Puerto Pico, solution trench in limestone. Zanjones range from a few centimeters to about 3 meters in width and from about 1 to 4 meters in depth. Apparently they form by the widening and deepening of joints by solution."
zone of aeration,,zone,,zone of aeration: The zone in permeable soil or rock that is above the zone saturated with water; the zone of vadose water.
Zwischenhohle,,Cave,,"Zwischenhohle: Cave in which a river passage, or former river passage, is entered from above or laterally and which can be for owed upstream and downstream some distance but not to daylight."
resurgence,,spring,,"resurgence - a spring where a stream, which has a course on the surface higher up, reappears at the surface."
salt weathering,,detachment of particles,,salt weathering - detachment of particles of various sizes from a rock surface by the growth of crystals from salt solutions.
sea cave,,cave,,"sea cave - a cave in present-day or emerged sea diffs, formed by wave attack or solution."
shaft,,cavity,,shaft - a vertical cavity roughly equal in horizontal dimensions but much deeper than broad.
shawl,,curtain,,shawl - a simple triangular-shaped curtain.
show cave,,cave,,show cave - a cave that has been made accessible to the public for guided visits.
siphon,,passage,,siphon - a water-filled passage of inverted v-profile which delivers a flow of water whenever the head of water upstream rises above the top of the inverted u.
solution,,change of bedrock,,"solution - in karst studies, the change of bedrock from the solid state to the liquid state by combination with water."
solution flute,,solution hollow,,"solution flute - a solution hollow running down the maximum slope of the rock, of uniform fingertip width and depth, with sharp ribs between it and its neighbours."
solution pan,,depression,,"solution pan - a dish-shaped depression on flatfish rock; its sides may overhang and carry solution flutes. its bottom may have a cover of organic remains, silt, clay or rock fragments."
solution runnel,,solution hollow,,"solution runnel - a solution hollow running down the maximum slope of the rock, larger than a solution flute and increasing in depth and width down its length."
speleogen,,cave feature,current markings|rock pendants|scallop,"speleogen - a cave feature formed erosionally or by weathering in cave enlargement, such as current markings (cf. scallop) or rock pendants."
speleology,,,exploration|study|description,"speleology - the exploration, description and scientific study of caves and related phenomena."
speleothem,,mineral deposit,calcite,"speleothem - a secondary mineral deposit formed in caves, most commonly calcite."
splash cup,,shallow cavity,,splash cup - a shallow cavity in the top of a stalagmite.
Carbonatites,are,rocks,,"Carbonatites are intrusive igneous rocks composed of 60 – 90% carbonate minerals, chiefly calcite. rocks"
Pit caves,are,shafts,,"Pit caves are vertical shafts, 1 – 2 m in diameter and up to 15 m deep."
Mogotes,are,karst towers,,Mogotes are isolated karst towers that rise from the blanket sands in the northern section.
Fenglin,is an,karst,,"Fenglin is an extreme form of karst that only develops where dissolution rates, tectonic uplift, and alluviation maintain a critical balance (Zhang, 1980)."
solution dolines,are,karst landforms,,"The principal surface karst landforms are shapely solution dolines, 10 – 100 m in diameter and up to 30 m in depth."
Vertical shafts,,,,"Vertical shafts are common underground, and are often exposed at the surface, truncated by glaciation and filled with shattered rock and sediment."
sinkhole,is sometimes used to refer|The term,depressions|dolines,swallow hole|stream-sink|ponor,"The term sinkhole is sometimes used to refer both to dolines (especially in North America and in the engineering literature) and to depressions where streams sink underground, which in Europe are described by separate terms (including ponor, swallow hole, and stream-sink)."
Shakehole,is a term used|to describe,depressions,,Shakehole is a term used in England to describe depressions in bouldery deposits such as glacial drift overlying limestone.
Collapse,refers to,movement of the ground,,"Collapse refers to rapid downward movement of the ground, whereas subsidence refers to gradual movement, sometimes without even ripping the surface."
Fovals,are,formations,,"Fovals are brown-greyish formations that can be found in different positions in the caves, on the floor, or on the rocky walls."
kettle holes,known as,closed depressions,,"Glacier pseudokarst also develops in debris where buried ice melts in situ, developing closed depressions, in isolation known as “ kettle holes ”, or assembled into extensive debris pseudokarst hillocks termed “ hummocky moraine ”."
resurgences,are known as,springs,,"The springs in allogenic karst aquifers are known as resurgences, and are often characterized by substantial variation in water quality since they reflect the changing water quality of the sinking streams."
exsurgences,known as,springs,,Autogenic karst aquifers feed springs known as exsurgences.
Jamas,are,shafts,,"Jamas are shafts of greater dimensions, sinking deep into the carbonate massive."
zone of vertical circulation,is an,area,,"The zone of vertical circulation is an area with large joints through which the water circulates quickly, predominantly in the ver - tical direction, down to the groundwater level."
Mines,are,excavations in the bedrock,,"Mines are fresh excavations in the bedrock and it is the stress pattern around the opening that determines such hazards as rock bursts, spalling, and roof collapse (Brady and Brown, 1993)."
speleothems,known collectively as,Mineral deposits,flowstone|stalactites|stalagmites,"Mineral deposits take on the form of stalactites, stalagmites, flowstone, and other forms known collectively as speleothems."
conduits,are known as,underground pathways,,The underground pathways in limestone through which water moves from sinkholes and sinking streams to the outlets at springs are known as conduits.
aeolian cave,is a,bowl-shaped chamber,,A typical aeolian cave is a bowl-shaped chamber carved in solid rock.
Lava conduits,also known as,,,"Lava conduits (also known as tubes, tunnels, or pyroducts) form on the sides of volcanoes within streams of lava by a process called inflation or by the crusting over of channels."
pyroducts,also known as,,,"Lava conduits (also known as tubes, tunnels, or pyroducts) form on the sides of volcanoes within streams of lava by a process called inflation or by the crusting over of channels."
tubes,also known as,,,"Lava conduits (also known as tubes, tunnels, or pyroducts) form on the sides of volcanoes within streams of lava by a process called inflation or by the crusting over of channels."
tunnels,also known as,,,"Lava conduits (also known as tubes, tunnels, or pyroducts) form on the sides of volcanoes within streams of lava by a process called inflation or by the crusting over of channels."
microbial draperies,referred to as,,,"Biofilms on subaerial cave-wall surfaces, referred to as microbial draperies, cave-wall biofilms, or snottites, have been described from the several active sulfidic caves."
cave-wall biofilms,referred to as,,,"Biofilms on subaerial cave-wall surfaces, referred to as microbial draperies, cave-wall biofilms, or snottites, have been described from the several active sulfidic caves."
Biofilms,referred to as,,,"Biofilms on subaerial cave-wall surfaces, referred to as microbial draperies, cave-wall biofilms, or snottites, have been described from the several active sulfidic caves."
snottites,referred to as,,,"Biofilms on subaerial cave-wall surfaces, referred to as microbial draperies, cave-wall biofilms, or snottites, have been described from the several active sulfidic caves."
doline,term|The|includes,,karst dolines|dry valleys|blind valleys|fluvial valleys|poljes|channels|uvalas|hollows,"The Slav term doline means “ depression ” and in a broad sense includes channels and hollows of different types, such as fluvial valleys, dry valleys, blind valleys, uvalas, poljes, and karst dolines."
tiankeng,is a,collapse doline,,"A tiankeng is a collapse doline at least 100 m long, wide and deep, and with perimeter walls that are close to vertical (Zhu and Waltham, 2006)."
cenotes,A particular type of|is the,collapse doline,,"A particular type of collapse doline is the cenotes, open depressions in the coastal karst belts giving access to the water table and resulting from the collapse of the roof of submerged cavities."
Subsidence dolines,are,closed depressions,,Subsidence dolines are closed depressions caused by the subsiding of an area.
Intersection dolines,are,depressions,,"Intersection dolines are depressions formed when an old cave system, partially or totally filled with sediments, is cut by the topographic surface as a consequence of the lowering of such a surface by chemical erosion."
compound hollow,is a,form,,A compound hollow is a form that originated from the fusion of simpler forms.
polygenetic sink,is a,closed depression,,A polygenetic sink is a closed depression that clearly evolved through both the karst process and another morphogenetic process.
collapse breccia,,mass of rock,,"collapse breccia: A mass of rock composed of angular to rounded fragments of limestone or dolomite that has formed as the result of the collapse of the roof of a cave, of an underlying cave, or of an overhanging ledge. See also solution breccia."
collapse sink,,closed depression,,collapse sink: A closed depression formed by the collapse of tie roof of a cave. See also doline.
conduit,,stream course,,conduit: A subterranean stream course filled completely with water and always under hydrostatic pressure. See also siphon.
cone karst,,karst topography,,"cone karst: A type of karst topography, common in the tropicr. characterized by star-shaped depressions at the feet of many steep-sided core-shaped hills. A variety of Kegelkarst. See also cockpit karst."
constructive waterfall,,dam,,constructive waterfall: A large rimstone dam on a surface stream. dam
conulite,,speleothem,,"conulite: A hollow, cone-shaped speleothem formed when a conical depression is drilled in cave mud by falling water. Subsequent erosion may remove the mud, isolating the calcite lining of the depression. calcite"
corridor,,passage,,corridor: A fairly level and straight passage that links two or more rooms or chambers in a cave. in a cave
corridor,,,,"corridor: Intersecting linear depressions on the surface of the land, related to joints or dikes. See also bogaz; struga; zanjon."
corrosion,,Erosion,,corrosion: Erosion by solution or chemical action. See also corrasion.
corrasion,,Erosion,,corrosion: Erosion by solution or chemical action. See also corrasion.
cove,,karst valley,,cove: Narrow steep-sided karst valley flanking limestone plateaus. limestone plateaus
covered karst :,,terrain,,"covered karst: A terrain of karst features, usually subdued, resulting from the development of solution features in limestone covered by soil; contrasted with naked karst, which is soil free. See also buried karst."
crawlway,,passage,,"crawl, crawlway: A cave passage that must be negotiated on hands and knees, crescentic wall niche. See meander niche."
crawl,,passage,,"crawl, crawlway: A cave passage that must be negotiated on hands and knees, crescentic wall niche. See meander niche."
crevice karst,,,,crevice karst: An intricate irregular crevice system that has formed by solution widening of closely spaced joints. Crevices may be as much as 6 meters across and 20 meters deep. Especially well developed near rivers in lowland New Guinea.
crust stone,,flowstone,,crust stone: A fragile layer of flowstone covering portions of walls of caves; looks like a flaky crust. Found in some Kentucky caves.
crystal cave,,cave,,"crystal cave: A cave in which much of the surface of the roof, walls, and floor is covered with well-formed mineral crystals."
crystal pool,,pool,,"crystal pool: In caves a pool, generally having little or no overflow, containing crystals."
dead end,,passage,,"cul-de-sac, dead end: A subterranean passage having only one entry."
cul-de-sac,,passage,,"cul-de-sac, dead end: A subterranean passage having only one entry."
Dissolutional potholes,are,basins,,"Dissolutional potholes are sharp-edged, rounded-interior basins in stream beds."
Scallops,are,spoon-shaped hollows,,Scallops are spoon-shaped hollows.
anastamose,refers to a|The term,reticulate pattern,,The term anastamose refers to a reticulate pattern (such as in the veins of a leaf); in caves it applies to a pattern of interweaving channels.
Pendants,are,positive forms,,"Pendants are positive forms hanging from passage ceilings, typically B10 — 100 cm in dimension."
Cupolas,are,features of thermal caves,,Cupolas are characteristic features of thermal caves.
cutter,is a,grike,,"A cutter is a deep grike that has formed under an acidic soil cover, often with a complex curved cross section, some cavernous karren, and remnant rounded pinnacles."
sinkhole plains,are known as,Regions where closed depressions are the dominant landform,,Regions where closed depressions are the dominant landform are not typically dissected by surface streams and are known as sinkhole plains or doline karst.
doline karst,are known as,Regions where closed depressions are the dominant landform,,Regions where closed depressions are the dominant landform are not typically dissected by surface streams and are known as sinkhole plains or doline karst.
Caves,are,fragments of conduit systems|cavities|fissures,,"Caves are natural subterranean cavities, fissures, and fragments of conduit systems that are accessible to human exploration. subterranean"
Aragonite,is,polymorph of calcite,,"Aragonite is the metastable, orthorhombic polymorph of calcite and occurs as short to long prismatic (along c), acicular or tabular (chisel-shaped) crystals, often twinned."
wad,is frequently used as a|The term,composite mixtures,,"The term wad is frequently used as a field term for composite mixtures consisting mainly of manganese oxides, in much the same sense as limonite is used for hydrous iron oxides."
The fracture aperture,is a,function,,The fracture aperture d (m) is a function in time of the initial aperture di (m) and the calcium flux rate F in a given fracture.
Knickpoints,are,changes in the gradient,waterfalls|rapids,"Knickpoints are sudden changes in the gradient of a river ’ s long profile, such as rapids or waterfalls, and may form as a response to a sudden drop in the water table."
room,is a,passage,,"A room is a type of passage that is wide relative to its length; rooms often form where passages intersect and are circular, oval, or irregular in shape."
Pits,are,vadose passage,,Pits are the ultimate form of vadose passage.
flute,has been used for|The term,parallel crested forms,,"The term flute has been used for the elongate, nearly parallel crested forms seen in some cave passages."
fenglin,is defined as,limestone towers or peaks,,"The fenglin is defined as limestone towers or peaks that are isolated from each other by flat limestone surfaces, which are generally covered by a thin layer of loose sediment."
Radiolocation,is a,technique,,"Radiolocation is a technique to fix an underground point to the corresponding point on the surface, usually to find out where the extremities of a cave lie and reduce cumulative errors in the survey."
peak forest,they are known as|is known as,tower karst,,"Various names have been ascribed to the towers and the overall landscape: in Chinese, tower karst is known as fenglin (peak forest) where towers are isolated, and fengcong (peak cluster) where groups of residual hills share a common exposed bedrock base; in Spanish the towers are termed mogotes; in French they are tourelles or pitons; in German Turmkarst; elsewhere they are known as “ haystacks ” and pepinos."
fenglin,they are known as|is known as,tower karst,,"Various names have been ascribed to the towers and the overall landscape: in Chinese, tower karst is known as fenglin (peak forest) where towers are isolated, and fengcong (peak cluster) where groups of residual hills share a common exposed bedrock base; in Spanish the towers are termed mogotes; in French they are tourelles or pitons; in German Turmkarst; elsewhere they are known as “ haystacks ” and pepinos."
artificial underground reservoir,is a,portion of an aquifer,,An artificial underground reservoir is a portion of an aquifer that has been improved to control the discharge regime of artificially stored water.
Valleys,are a,feature,,"Valleys are a feature of most karst regions, the exceptions ‘ being areas of polygonal karst where the whole surface is pitted by dolines, although even here there may be vestiges of former valley networks."
Pocket valleys,are the reverse of,blind valleys,,"Pocket valleys (or steepheads) are the reverse of blind valleys, since they occur in association with large springs close to the margins of karst areas."
steepheads,are the reverse of,blind valleys,,"Pocket valleys (or steepheads) are the reverse of blind valleys, since they occur in association with large springs close to the margins of karst areas."
Sinkholes,are,closed land surface depressions,,"Sinkholes or dolines are closed land surface depressions with internal drainage typically formed in karst environments (Ford and Williams, 2007)."
dolines,are,closed land surface depressions,,"Sinkholes or dolines are closed land surface depressions with internal drainage typically formed in karst environments (Ford and Williams, 2007)."
uvalas,are defined as,karst depressions,,"In most references, uvalas are defined as karst depressions which are formed due to coalescence of several dolines."
Uvalas,are,hollows,,Uvalas are hollows with undulating floors made up of more than one doline.
uvala,is sometimes applied to|The term,,dry valleys|youthful poljes,The term uvala is used in a variety of ways and is sometimes applied to youthful poljes or to dry valleys floored by sinkholes.
sinkhole,A typical|is,,,"A typical sinkhole is bowl shaped, with one or more low spots along its bottom."
Paleokarst,is,karst terrain,,Paleokarst is karst terrain that has been buried beneath younger sediments.
sedimentation and filtration basins,are known as,Basins,,Basins designed and maintained to filter sediments and pollutants are known as sedimentation and filtration basins.
exokarstic storey,represents,upper part of the karstosphere,,The exokarstic storey represents the upper part of the karstosphere between the topographic surface and a depth of 0.5 to 7.0 km.
faults,are defined as,fractures,,"In structural geology, faults are defined as fractures in the rocks of the earth's crust along which movement has occurred or still occurs (Davis & Reynolds 1996)."
Fission-track method,is a,radiogenic method,,Fission-track method is a radiogenic method of age estimation based on accumulation of damage trails left by nuclei that are expelled during fission decays of 238U.
Flowstone,is a general term referring to,deposit,,"Flowstone is a general term referring to a deposit formed from thin films or trickles of water, the minerals are usually calcium carbonate and encrust floors or walls."
fluviokarst,is used to describe,karst landscape,,"The term fluviokarst is used to describe a karst landscape in which the dominant physical landforms are valleys initially cut by surface streams that have been partly or completely diverted underground by subsurface conduit piracy (Field, 2002a)."
Kluftkarren,are,fissures of a karstifiable rock,,"Kluftkarren or grikes are merely the visible surface expression of the fissures of a karstifiable rock; as such, they are a significant component of the epikarst, or the outer skin of the whole karst system."
grikes,are,fissures of a karstifiable rock,,"Kluftkarren or grikes are merely the visible surface expression of the fissures of a karstifiable rock; as such, they are a significant component of the epikarst, or the outer skin of the whole karst system."
Hypogene karst,is defined as,the formation of caves,,"Hypogene karst is defined as the formation of caves by water that recharges the soluble formation from below, driven by hydrostatic pressure or other sources of energy, independent of the recharge from the overlying or immediately adjacent surface (Ford, 2000). caves"
inphase component,is defined as,amplitude of the secondary field,,The inphase component is defined as the amplitude of the secondary field at the point where the primary field amplitude peaks.
Karren,is a common term used for,dissolution features,,Karren is a common term used for dissolution features on exposed soluble rock surfaces (Gines 2009). dissolution
Karren,,,,"Karren range from 1 cm to 10 m in greatest dimension in most instances, although kluftkarren and some solution channels can be longer."
karst,may be defined as,process,,"In the most general terms, karst may be defined as a process of interaction between soluble rocks and different waters, as a result of which characteristic features develop on the Earth's surface and underground. process"
