DEFINIENDUM,CATEGORY,CATEGORY_TEXT,SENTENCE,*,AFFECTS,COMPOSITION_MEDIUM,CONTAINS,DEFINED_AS,DEFINITOR,GENUS,HAS_ATTRIBUTE,HAS_CAUSE,HAS_FORM,HAS_FUNCTION,HAS_LOCATION,HAS_POSITION,HAS_RESULT,HAS_SIZE,MEASURES,OCCURS_IN_MEDIUM,OCCURS_IN_TIME,SPECIES,STUDIES,frame_ATTRIBUTE,frame_CAUSE,frame_COMPOSITION,frame_CONTAINS,frame_DEFINED_AS,frame_FORM,frame_FUNCTION,frame_LOCATION,frame_MEASURES,frame_MEDIUM,frame_POSITION,frame_RESULT,frame_SIZE,frame_STUDIES,frame_TIME
palette,D.1 Abiotic|B.4 Transformation|A.2 Underground landform,calcium carbonate|solution|palette,"palette: In a cave, a more or less flat protruding sheet of crystalline calcium carbonate spared during solution of the rock on each side of it. See also blade; shield.",,,of crystalline calcium carbonate,,,,,,spared during solution of the rock on each side of it .,flat protruding sheet,,"In a cave ,",,,,,,,,,,,of,,,,,In a,,,,,,,
partition,A.2 Underground landform,partition,partition: A nearly vertical residual rock mass in a cave. residual,,,,,,,,,residual,nearly vertical residual rock mass,,in a cave .,,,,,,,,,,,,,,,,in a,,,,,,,
pepino hill,A.1 Surface landform|B. Process|D.1 Abiotic,pepino hill|karst action|hill,pepino hill: Rounded or conical-shaped hill resulting from tropical humid karst action. Term generally replaced in Puerto Rico by mogote.,,,,,,,hill,,resulting from tropical humid karst action,Rounded or conical-shaped,,,,,,,,,,,,resulting from,,,,,,,,,,,,,
phreatic water,A.3 Hydrological form|A.3 Hydrological form|D.1 Abiotic,phreatic water|phreas|water,"phreas, phreatic water: Water in the zone of saturation; water below the water table.",,,,,,,Water,,,,,in the zone of saturation|below the water table,,,,,,,,,,,,,,,,below the|in the,,,,,,,
phreas,A.3 Hydrological form|A.3 Hydrological form|D.1 Abiotic,phreatic water|phreas|water,"phreas, phreatic water: Water in the zone of saturation; water below the water table.",,,,,,,Water,,,,,in the zone of saturation|below the water table,,,,,,,,,,,,,,,,below the|in the,,,,,,,
phreatic zone,C. Geome,phreatic zone,"phreatic zone: The region below the water table, in which rock is saturated with water.",,,,,,,,,,,in which rock is saturated with water,below the water table,,,,,,,,,,,,,,,,below the,,,,,,,
pillar,B.2 Loss|A. Landform,solution|pillar,pillar: A column of rock remaining after solution of the surrounding rock. See also rock pillar.,,,,,,,,,remaining after solution of the surrounding rock,column of rock,,,,,,,,,,,,remaining after,,,,,,,,,,,,,
pillar,A.2 Underground landform|A.2 Underground landform|A.2 Underground landform,stalactitestalagmite|column|pillar,pillar: A stalactitestalagmite that reaches from roof to floor in a cave; more properly termed a column.,,,,,,,,,,reaches from roof to floor,,in a cave,,,,,,,,,,,,,,reaches,,in a,,,,,,,
pillar,A.2 Underground landform|A.2 Underground landform|A.2 Underground landform,roof of a cave|stalagmite|pillar,"pillar: A tall thin stalagmite that does not reach the roof of a cave, also pipe. Small cylindrical hole in unconsolidated sediments, caused by removal of fine material by water.",,,,,,,stalagmite,,,does not reach the roof of a cave|tall thin,,,,,,,,,,,,,,,,,,,,,,,,,
piping,D.1 Abiotic|B. Process,water|piping,piping: Formation of a passage by water under pressure in the form of conduits through permeable materials when the hydraulic head exceeds a certain critical value.,,,through permeable materials,,,,,,by water under pressure,in the form of conduits,,,,Formation of a passage,,,,when the hydraulic head exceeds a certain critical value,,,,by,through,,,in the form of,,,,,,Formation of a,,,when
pit,A.2 Underground landform|D.3 Property,pit|circular,"pit: A deep hole, generally circular in outline, having vertical or nearly vertical walls.",,,,,,,hole,,,"deep hole , generally circular in outline , having vertical or nearly vertical walls",,,,,,,,,,,,,,,,having,,,,,,,,,
piton,A.1 Surface landform,piton,piton: Limestone hill having sharply pointed peak.,,,Limestone,,,,hill,,,having sharply pointed peak,,,,,,,,,,,,,,,,having,,,,,,,,,
karst spring,A.3 Hydrological form|D.1 Abiotic,karst spring|limestone,karst spring: A spring emerging from karstified limestone.,,,,,,,spring,,,,,emerging from karstified limestone,,,,,,,,,,,,,,,,emerging from,,,,,,,
karst topography,C. Geome,karst topography,karst topography: Topography dominated by features of solutional origin.,,,,dominated by features of solutional origin,,,Topography,,,,,,,,,,,,,,,,,dominated by,,,,,,,,,,,
karst valley,A.1 Surface landform,karst valley,karst valley: Elongate solution valley.,,,,,,,valley,,solution,Elongate,,,,,,,,,,,,,,,,,,,,,,,,,
karst valley,A.1 Surface landform|B.1 Movement,karst valley|collapse,karst valley: Valley produced by collapse of a cavern roof.,,,,,,,Valley,,produced by collapse of a cavern roof,,,,,,,,,,,,,produced by,,,,,,,,,,,,,
karst window,A.3 Hydrological form|A.1 Surface landform,subterranean river|karst window,"karst window: Depression revealing a part of a subterranean river flowing across its floor, or an unroofed part of a cave.",,,,,,,Depression,,,,"revealing a part of a subterranean river flowing across its floor , or an unroofed part of a cave",,,,,,,,,,,,,,,,revealing a part of,,,,,,,,
karst window,A.1 Surface landform,karst window,karst window: A small natural bridge or arch which can be seen through.,,,,,,,natural bridge,,,small natural bridge or arch,can be seen through,,,,,,,,,,,,,,,,which can be,,,,,,,,
karstification,A.1 Surface landform|B.4 Transformation|A.2 Underground landform|A.1 Surface landform|A.2 Underground landform|A.1 Surface landform,dolines|karstification|shafts|Karren|caves|mogotes,"karstification: Action by water, mainly chemical but also mechanical, that produces features of a karst topography, including such surface features as dolines, Karren, and mogotes and such subsurface features as caves and shafts.",,,,,,,Action,,"Action by water , mainly chemical but also mechanical",,,,,"produces features of a karst topography , including such surface features as dolines , Karren , and mogotes and such subsurface features as caves and shafts",,,,,,,,Action by,,,,,,,,,,produces,,,
karstland,C. Geome,karstland,karstland: A region characterized by karst topography.,,,,,,,region,characterized by karst topography,,,,,,,,,,,,,characterized by,,,,,,,,,,,,,,
katavothron,A.1 Surface landform,katavothron,katavothron: A closed depression or swallow hole.,,,,,,,,,,closed depression|swallow hole,,,,,,,,,,,,,,,,,,,,,,,,,
Kegelkarst,A.1 Surface landform|C. Geome,karst valleys|Kegelkarst,"Kegelkarst: A general term used to describe several types of tropical humid karst characterized by numerous, closely spaced hemispherical -, or tower-shaped hills having intervening closed depressions and narrow steep-walled karst valleys or passageways.",,,,"characterized by numerous , closely spaced hemispherical - , or tower-shaped hills|intervening closed depressions and narrow steep-walled karst valleys or passageways",,,karst,,,,,,,,,,,,,,,,,characterized by,,,,,,,,,,,
keyhole,A.2 Underground landform|A.2 Underground landform,cave|keyhole,"keyhole: A small passage or opening in a cave; in cross section, rounded at the top, constricted in the middle, and rectangular or flared out below.",,,,,,,passage,,,"in cross section , rounded at the top , constricted in the middle , and rectangular or flared out below",,in a cave,,,,,,,,,,,,,,,,in a,,,,,,,
knobstone,A.2 Underground landform|A.2 Underground landform|A.2 Underground landform,cave coral|Speleothem|knobstone,"knobstone: Speleothem, larger, more pronounced, and more widely separated than cave coral.",,,,,,,Speleothem,,,"larger , more pronounced , and more widely separated than cave coral",,,,,,,,,,,,,,,,,,,,,,,,,
kras,C. Geome|C. Geome,kras|krš,"kras, krš: A Slavic word meaning bleak, waterless place, from which the term karst is derived. Synonym: karst.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
krš,C. Geome|C. Geome,kras|krš,"kras, krš: A Slavic word meaning bleak, waterless place, from which the term karst is derived. Synonym: karst.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
level,A.2 Underground landform|D.1 Abiotic,level|passages,"level: Within a cave, a group of passages developed in the same horizontal plane.",,,,,,,,,,group of passages,,developed in the same horizontal plane|Within a cave,,,,,,,,,,,,,,,,developed in|Within a,,,,,,,
level,D.3 Property,level,level: The altitudinal relation of a cave floor to an outside surface.,,,,,The altitudinal relation of a cave floor to an outside surface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
light hole,A.1 Surface landform,light hole,light hole: Fossil or abandoned swallow hole.,,,,,,,swallow hole,,,swallow hole,Fossil or abandoned,,,,,,,,,,,,,,,,,,,,,,,,
limestone,D.1 Abiotic|D.1 Abiotic,calcium carbonate|limestone,"limestone: A sedimentary rock consisting chiefly of calcium carbonate, CaCO",,,"consisting chiefly of calcium carbonate , CaCO",,,,rock,,sedimentary,,,,,,,,,,,,,,consisting chiefly of,,,,,,,,,,,,
chamber,A.2 Underground landform|D.1 Abiotic|A.2 Underground landform,cave|cavity|chamber,"chamber - the largest order of cavity in a cave, with considerable width and length but not necessarily great height.",,,,,,,cavity,,,,,in a cave,,,with considerable width and length|not necessarily great height|largest order of cavity,,,,,,,,,,,,,in a,,,,,with considerable,,
choke,A.2 Underground landform|D.1 Abiotic|D.1 Abiotic|D.1 Abiotic,cave|fill|debris|choke,choke - rock debris or cave fill blocking part of a cave.,,,,,,,rock debris|cave fill,,,,blocking part of a cave,,,,,,,,,,,,,,,,,,,,,,,,
column,A.2 Underground landform|A.2 Underground landform|D.1 Abiotic|A.2 Underground landform|A.2 Underground landform,column|speleothem|bedrock|stalagmite|stalactite,"column - a speleothem from floor to ceiling, formed by the growth and joining of a stalactite and a stalagmite, or by the growth of either to meet bedrock.",,,,,,,speleothem,,formed by the growth and joining of a stalactite and a stalagmite|by the growth of either to meet bedrock,from floor to ceiling,,,,,,,,,,,,formed by,,,,,,,,,,,,,
conduit,D.3 Property|D.1 Abiotic|D.1 Abiotic|A.3 Hydrological form|D.1 Abiotic,hydrostatic pressure|stream course|water|conduit|passage,conduit - an underground stream course completely filled with water and under hydrostatic pressure or a circular or elliptical passage inferred to have been such a stream course.,,,,completely filled with water,,,stream course|passage,under hydrostatic pressure,,circular or elliptical passage,,underground,,,,,,,,,,,,,,,,,,,,,,,
corrosion,B.2 Loss|B.2 Loss|D.1 Abiotic|D.1 Abiotic|D.1 Abiotic,wearing away|corrosion|bedrock|sediment|water,"corrosion - the wearing away of bedrock or loose sediment by mechanical action of moving agents, especially water.",,,,,,,wearing away of bedrock,,"by mechanical action of moving agents , especially water",,,,,wearing away of bedrock or loose sediment,,,,,,,,by,,,,,,,,,,,,,
curtain,D.3 Property|A.2 Underground landform|A.2 Underground landform|D.3 Property,resonant|speleothem|curtain|translucent,"curtain - a speleothem in the form of a wavy or folded sheet, often translucent and resonant, hanging from the roof or wall of a cave.",,,,,,,speleothem,often translucent and resonant,,in the form of a wavy or folded sheet,,hanging from the roof or wall of a cave,,,,,,,,,,,,,,in the form of,,hanging from,,,,,,,
dark zone,D.3 Property|A.2 Underground landform,dark zone|cave,dark zone - the part of a cave which daylight does not reach.,,,,,,,part of a cave,,,,,part of a cave which daylight does not reach,,,,,,,,,,,,,,,,part of a,,,,,,,
decomposers,B. Process|D.2 Biotic|D.2 Biotic|D.2 Biotic,extracting energy|bacteria|decomposers|fungi,"decomposers - living things, chiefly bacteria and fungi, that subsist by extracting energy from tissues of dead animals and plants.detritivore organisms which feed on organic detritus, such as the dead parts of plants or the dead bodies and waste products of animals.",,,,,,,living things,,,,that subsist by extracting energy from tissues of dead animals and plants.detritivore,,,,,,,,fungi|bacteria,,,,,,,,subsist by,,,,,,,,
doline,D.3 Property|D.3 Property|A.1 Surface landform|B. Process|D.3 Property|D.1 Abiotic|C. Geome|D.3 Property,"conical ,|cylindrical|doline|draining|dish-shaped|depression|karst|bowl","doline - a closed depression draining underground in karst, of simple but variable form, e.g., cylindrical, conical, bowl - or dish-shaped. from a few to many hundreds of metres in dimension.",,,in karst,,,,depression,,,"of simple but variable form , e.g . , cylindrical , conical , bowl - or dish-shaped|closed depression",draining underground,,,,from a few to many hundreds of metres in dimension,,,,dish-shaped|conical|cylindrical|bowl,,,,,,,form|of,,,,,,,in dimension,,
dolomite,D.1 Abiotic|D.1 Abiotic|D.1 Abiotic|D.1 Abiotic|D.1 Abiotic,double carbonate|magnesium|dolomite|mineral|calcium,dolomite - a mineral consisting of the double carbonate of magnesium and calcium.,,,consisting of the double carbonate of magnesium and calcium,,,,mineral,,,,,,,,,,,,,,,,consisting of,,,,,,,,,,,,
dome,B.4 Transformation|D.1 Abiotic|B.1 Movement|A.2 Underground landform|A.2 Underground landform,salt weathering|hollow|breakdown|dome|cave,"dome - a large hemispheroidal hollow in the roof of a cave, formed by breakdown and / or salt weathering, generally in mechanically weak rocks, which prevents bedding and joints dominating the form.",,,generally in mechanically weak rocks,,,,hollow,,formed by breakdown and / or salt weathering,hemispheroidal hollow,,in the roof of a cave,,,large,,,,,,,formed by,in,,,,,in the,,,,,,,
driphole,A.2 Underground landform|A.2 Underground landform|D.1 Abiotic|D.1 Abiotic,cave floor|driphole|water|hole,driphole - a hole formed by water dripping onto the cave floor. cave floor,,,,,,,hole,,formed by water dripping onto the cave floor,,,cave floor,,,,,,,,,,formed by,,,,,,,,,,,,,
dripline,B.1 Movement|A.2 Underground landform|A.2 Underground landform,drips|cave|dripline,"dripline - a line on the ground at a cave entrance formed by drips from the rock above, useful in cave survey to define the beginning of the cave.",,,,,,,line on the ground,,formed by drips from the rock above,,useful in cave survey to define the beginning of the cave,at a cave entrance|on the ground,,,,,,,,,,formed by,,,,,useful in,on the|at a,,,,,,,
dripstone,A.2 Underground landform|D.1 Abiotic|D.1 Abiotic|D.1 Abiotic,cave roofs|dripstone|calcite|deposit,"dripstone - a deposit formed from drops falling from cave roofs or walls, usually of calcite.",,,usually of calcite,,,,deposit,,formed from drops falling from cave roofs or walls,,,,,,,,,,,,,formed from,usually of,,,,,,,,,,,,
dry cave,A.2 Underground landform|A.2 Underground landform|A.2 Underground landform|A.3 Hydrological form,dead cave|dry cave|cave|stream,"dry cave - a cave without a running stream, also dead cave.",,,,without a running stream,,,cave,,,,,,,,,,,,,,,,,without a,,,,,,,,,,,
dead cave,A.2 Underground landform|A.2 Underground landform|A.2 Underground landform|A.3 Hydrological form,dead cave|dry cave|cave|stream,"dry cave - a cave without a running stream, also dead cave.",,,,without a running stream,,,cave,,,,,,,,,,,,,,,,,without a,,,,,,,,,,,
Colluvial transport,B.1 Movement|B.1 Movement|D.1 Abiotic,movement of sediments|Colluvial transport|water,Colluvial transport is down-slope movement of sediments without the assistance of water.,,,,,,is,movement of sediments,,without the assistance of water,,,down-slope,,,,,,,,,,,,,,,,,,,,,,,
Stalactites,A.2 Underground landform|D.1 Abiotic|A.2 Underground landform,cave|ceiling|Stalactites,"Stalactites are centimeter to meter in scale, hanging from the ceiling and growing toward the cave floor.",,,,,,are,,growing toward the cave floor,,,,hanging from the ceiling,,,centimeter to meter in scale,,,,,,,,,,,,,hanging from,,,,,in scale,,
Stalagmitic flowstones,A.2 Underground landform|A.2 Underground landform|A.2 Underground landform,Stalagmitic flowstones|stalactites|stalagmite,"Stalagmitic flowstones are a particular type of stalagmite formed by a thin flowing film of water itself fed by groups of dripping stalactites, and coat the cave floor and walls. are a",,,,,,are a particular type of|are a,stalagmite,,formed by a thin flowing film of water itself fed by groups of dripping stalactites,,,coat the cave floor and walls,,,,,,,,,,formed by,,,,,,coat the,,,,,,,
Soda straws,A.2 Underground landform|B.3 Addition|A.2 Underground landform|B.3 Addition,Soda straws|axial feeding|speleothems|growth,"Soda straws are speleothems generated by axial feeding, and characterized by a central canal with constant diameter and by a wall structure that is controlled by geometric selection during growth on the meniscus of a drip.",,,,,,are,speleothems,,generated by axial feeding,characterized by a central canal with constant diameter and by a wall structure that is controlled by geometric selection during growth,,,,,,,,,,,,generated by,,,,characterized by,,,,,,,,,
Stalagmites,A.2 Underground landform|A.2 Underground landform,stalactite|Stalagmites,"Stalagmites are convex deposits that grow upward, commonly fed by an overhanging stalactite, and show flat, rounded, or slightly hollow tops, but not a central canal.",,,,,,are,deposits,,fed by an overhanging stalactite,"show flat , rounded , or slightly hollow tops , but not a central canal|convex deposits that grow upward",,,,,,,,,,,,fed by,,,,show,,,,,,,,,
sinkhole,D.1 Abiotic|B.1 Movement|B.4 Transformation|D.1 Abiotic|A.1 Surface landform,surface water|drainage|solution|bedrock|sinkhole,"In order for a sinkhole to form in the first place, there are three requirements: a drainage path for the surface water runoff to follow; a zone of bedrock modified by solution located at or near the surface; and a covering of soil or some other material making up the land surface (this last is not an absolute requirement; when that cover is absent, certain types of sinkholes can still form).",,,zone of bedrock modified by solution located at or near the surface,drainage path for the surface water runoff to follow,,,,a covering of soil or some other material making up the land surface,,,,,,,,,,,,,,,,,,,,,,,,,,,
swallow holes,A.3 Hydrological form|A.3 Hydrological form|A.3 Hydrological form,swallow holes|sinking stream|ponors,"Also known as ponors, swallow holes are the point at which a sinking stream heads underground.",,,,,,are,point,,,,,the point at which a sinking stream heads underground,,,,,,,,,,,,,,,,the point at which,,,,,,,
ponors,A.3 Hydrological form|A.3 Hydrological form|A.3 Hydrological form,swallow holes|sinking stream|ponors,"Also known as ponors, swallow holes are the point at which a sinking stream heads underground.",,,,,,are,point,,,,,the point at which a sinking stream heads underground,,,,,,,,,,,,,,,,the point at which,,,,,,,
Swallow holes,D.1 Abiotic|D.1 Abiotic|A.3 Hydrological form|A.1 Surface landform,underground channelóin|stream bed|Swallow holes|sinkholes,"Swallow holes are surface drainage features that direct runoff into an underground channelóin other words, they are sinkholes that form in a stream bed, often with a large vertical shaft beneath.",,,,,,are,drainage features,,,"sinkholes that form in a stream bed , often with a large vertical shaft beneath",direct runoff into an underground channelóin,,,,,,,,,,,,,,,,,,,,,,,,
polje,C. Geome|D.1 Abiotic|A.1 Surface landform|A.1 Surface landform|D.3.1 Geolocation|D.1 Abiotic,karstic terrain|large plain|poljes|polje|Slovenia|field,"The word polje signifies a field or a large plain, and it is still widely used in Slav languages without particular reference to karstic terrain (Sweeting 1972, Roglič 1974), although poljes in the karst of Slovenia are usually called dolina or dol (Gams 1994).",,,karstic terrain,,,signifies,large plain|field,,,,,,,,large,,,,,,,,,,,,,,,,,,,,
pepino,A.1 Surface landform|A.1 Surface landform|A.1 Surface landform|A.1 Surface landform|A.1 Surface landform|A.1 Surface landform|A.1 Surface landform,tower|cone|piton|hum|turm|mogote|pepino,"The word ‘ tower ’ therefore subsumes a myriad of forms, and a variety of terms in different languages has been used to describe them, including turm, mogote, cone, piton, hum and pepino.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hum,A.1 Surface landform|A.1 Surface landform|A.1 Surface landform|A.1 Surface landform|A.1 Surface landform|A.1 Surface landform|A.1 Surface landform,tower|cone|piton|hum|turm|mogote|pepino,"The word ‘ tower ’ therefore subsumes a myriad of forms, and a variety of terms in different languages has been used to describe them, including turm, mogote, cone, piton, hum and pepino.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cone,A.1 Surface landform|A.1 Surface landform|A.1 Surface landform|A.1 Surface landform|A.1 Surface landform|A.1 Surface landform|A.1 Surface landform,tower|cone|piton|hum|turm|mogote|pepino,"The word ‘ tower ’ therefore subsumes a myriad of forms, and a variety of terms in different languages has been used to describe them, including turm, mogote, cone, piton, hum and pepino.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
piton,A.1 Surface landform|A.1 Surface landform|A.1 Surface landform|A.1 Surface landform|A.1 Surface landform|A.1 Surface landform|A.1 Surface landform,tower|cone|piton|hum|turm|mogote|pepino,"The word ‘ tower ’ therefore subsumes a myriad of forms, and a variety of terms in different languages has been used to describe them, including turm, mogote, cone, piton, hum and pepino.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mogote,A.1 Surface landform|A.1 Surface landform|A.1 Surface landform|A.1 Surface landform|A.1 Surface landform|A.1 Surface landform|A.1 Surface landform,tower|cone|piton|hum|turm|mogote|pepino,"The word ‘ tower ’ therefore subsumes a myriad of forms, and a variety of terms in different languages has been used to describe them, including turm, mogote, cone, piton, hum and pepino.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
turm,A.1 Surface landform|A.1 Surface landform|A.1 Surface landform|A.1 Surface landform|A.1 Surface landform|A.1 Surface landform|A.1 Surface landform,tower|cone|piton|hum|turm|mogote|pepino,"The word ‘ tower ’ therefore subsumes a myriad of forms, and a variety of terms in different languages has been used to describe them, including turm, mogote, cone, piton, hum and pepino.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tower,A.1 Surface landform|A.1 Surface landform|A.1 Surface landform|A.1 Surface landform|A.1 Surface landform|A.1 Surface landform|A.1 Surface landform,tower|cone|piton|hum|turm|mogote|pepino,"The word ‘ tower ’ therefore subsumes a myriad of forms, and a variety of terms in different languages has been used to describe them, including turm, mogote, cone, piton, hum and pepino.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Breccia pipes,A.1 Surface landform|B.2 Loss|C. Geome|B.1 Movement,Breccia pipes|interstratal dissolution|gypsum karst|stoping,Breccia pipes are common features of gypsum karst that are created by progressive stoping above sites of interstratal dissolution.,,,gypsum karst,,,are,features,,created by progressive stoping above sites of interstratal dissolution,,,,,,,,,,,,,created by,,,,,,,,,,,,,
Gypsum tumuli,A.1 Surface landform|D.1 Abiotic|D.1 Abiotic|A.1 Surface landform|A.1 Surface landform,Gypsum tumuli|hollow domes|gypsum|bubbles|tents,"Gypsum tumuli (bubbles or tents) are hollow domes of freshly formed gypsum that are round or elliptical in plan (Breish and Wefer 1981, Pulido-Bosch 1986, Macaluso and Sauro 1996).",,,of freshly formed gypsum,,,are,hollow domes,,,round or elliptical in plan|hollow domes,,,,,,,,,,,,,of,,,,,,,,,,,,
bubbles,A.1 Surface landform|D.1 Abiotic|D.1 Abiotic|A.1 Surface landform|A.1 Surface landform,Gypsum tumuli|hollow domes|gypsum|bubbles|tents,"Gypsum tumuli (bubbles or tents) are hollow domes of freshly formed gypsum that are round or elliptical in plan (Breish and Wefer 1981, Pulido-Bosch 1986, Macaluso and Sauro 1996).",,,of freshly formed gypsum,,,are,hollow domes,,,round or elliptical in plan|hollow domes,,,,,,,,,,,,,of,,,,,,,,,,,,
tents,A.1 Surface landform|D.1 Abiotic|D.1 Abiotic|A.1 Surface landform|A.1 Surface landform,Gypsum tumuli|hollow domes|gypsum|bubbles|tents,"Gypsum tumuli (bubbles or tents) are hollow domes of freshly formed gypsum that are round or elliptical in plan (Breish and Wefer 1981, Pulido-Bosch 1986, Macaluso and Sauro 1996).",,,of freshly formed gypsum,,,are,hollow domes,,,round or elliptical in plan|hollow domes,,,,,,,,,,,,,of,,,,,,,,,,,,
rillensteine,D.1 Abiotic|A.1 Surface landform|D.1 Abiotic,Clasts|microrills|rillensteine,Clasts with microrills are rillensteine (Laudermilk and Woodford 1932).,,,,microrills,,are,Clasts,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solution runnels,A.1 Surface landform|D.1 Abiotic,Solution runnels|Hortonian channels,"Solution runnels are normal Hortonian channels, heading where sheetflow or wash on a slope breaks down into linear threads.",,,,,,are,channels,,where sheetflow or wash on a slope breaks down into linear threads,,,,,,,,,,,,,,,,,,,,,,,,,,
Solution dolines,D.1 Abiotic|A.1 Surface landform,carbonate rocks|Solution dolines,"Solution dolines are a common feature of karst in humid areas, yet not all carbonate rocks support them.",,,,,,are,feature of karst,not all carbonate rocks support them,,,,karst in humid areas,,,,,,,,,,,,,,,,in,,,,,,,
Pinnacle karst,D.3.1 Geolocation|D.1 Abiotic|D.3.1 Geolocation|A.1 Surface landform|D.3.1 Geolocation|D.3.1 Geolocation|D.3.1 Geolocation,"Mount Kaijende , New Guinea|small-scale landform|Gunung Api|Pinnacle karst|subtropics|tropics|Mulu","Pinnacle karst is a spectacular small-scale landform found principally in the humid tropics and subtropics, with the best known examples coming from Gunung Api, Mulu, and Mount Kaijende, New Guinea.",,,,,,is a,landform,,,,,in the humid tropics and subtropics,"Mount Kaijende , New Guinea|Gunung Api|Mulu",,small-scale,,,,,,,,,,,,,in,,,,,,,
Caves,A.2 Underground landform|D.1 Abiotic|D.1 Abiotic,Caves|sediments|deposits,"Caves are natural museums, preserving important archaeological evidence as well as sediments and deposits that provide clues to past environments.",,,,,,are,natural museums,,,,preserving important archaeological evidence as well as sediments and deposits that provide clues to past environments,,,,,,,,,,,,,,,,preserving,,,,,,,,
Blue holes,D.1 Abiotic|D.1 Abiotic|A.2 Underground landform,carbonate rock|vertical openings|Blue holes,"Blue holes are water-filled vertical openings in the carbonate rock of the islands, which exhibit complex morphologies, ecologies, and water chemistries.",exhibit,,,,,are,vertical openings,"exhibit complex morphologies , ecologies , and water chemistries",,water-filled vertical openings,,in the carbonate rock of the islands,,,,,,,,,,,,,,,,in,,,,,,,
Blue holes,B.1 Movement|B.3 Addition|A.2 Underground landform|B.2 Loss,sea-level fluctuations|carbonate deposition|Blue holes|dissolution,"Blue holes are the composite result of carbonate deposition and dissolution cycles, which have been controlled by glacial sea-level fluctuations.",,,,,,,,,"composite result of carbonate deposition and dissolution cycles , which have been controlled by glacial sea-level fluctuations",,,,,,,,,,,,,result of,,,,,,,,,,,,,
blue hole,D.3.1 Geolocation|D.1 Abiotic|A.2 Underground landform|D.1 Abiotic|A.2 Underground landform|D.1 Abiotic,Earth ’ s surface|carbonate banks|blue hole|subsurface voids|cave passages|islands,"The term “ blue hole ” has been used in a variety of ways, but they are best defined as: “ subsurface voids that are developed in carbonate banks and islands; are open to the Earth ’ s surface; contain tidally influenced waters of fresh, marine, or mixed chemistry; extend below sea-level for a majority of their depth; and may provide access to submerged cave passages.",,,,"contain tidally influenced waters of fresh , marine , or mixed chemistry",,are best defined as,subsurface voids,,,open to the Earth ’ s surface,provide access to submerged cave passages,extend below sea-level for a majority of their depth|developed in carbonate banks and islands,,,,,,,,,,,,contain,,open to,may provide,extend below|developed in,,,,,,,
Carbon dioxide,D.1 Abiotic|D.1 Abiotic|D.1 Abiotic|B.2 Loss|B.2 Loss|B.3 Addition|A.2 Underground landform,aqueous solution|Carbon dioxide|limestone|solution|solution|precipitation|speleothems,Carbon dioxide in aqueous solution is a critical component in both the solution and precipitation of speleothems and the solution of limestone.,,solution and precipitation of speleothems|solution of limestone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diagenesis,D.1 Abiotic|D.3 Property|B.4 Transformation|B.4 Transformation|B.4 Transformation|D.1 Abiotic,carbonate mud|initially unconsolidated|compaction|cementation|Diagenesis|debris,"Diagenesis is a term describing processes of compaction and / or cementation of the initially unconsolidated carbonate mud and debris (Moore, 2001). compaction and / or cementation of the initially unconsolidated carbonate mud and debris",,,,,describing processes of compaction and / or cementation of the initially unconsolidated carbonate mud and debris,is a term describing,processes,,,,,,,compaction and / or cementation of the initially unconsolidated carbonate mud and debris,,,,,compaction|cementation,,,,,,describing,,,,,,,,,,
Dolostone,B.4 Transformation|D.1 Abiotic,diagenesis|Dolostone,Dolostone is a major product of diagenesis.,,,,,,is a,product of diagenesis,,product of diagenesis,,,,,,,,,,,,,product of,,,,,,,,,,,,,
influent cave,A.2 Underground landform|A.2 Underground landform|A.2 Underground landform|D.1 Abiotic,inflow cave|influent cave|Cave|stream,"inflow cave, influent cave: Cave into which a stream flews or formerly entered.",,,,,,,Cave,,,,into which a stream flews or formerly entered,,,,,,,,,,,,,,,,into which,,,,,,,,
inflow cave,A.2 Underground landform|A.2 Underground landform|A.2 Underground landform|D.1 Abiotic,inflow cave|influent cave|Cave|stream,"inflow cave, influent cave: Cave into which a stream flews or formerly entered.",,,,,,,Cave,,,,into which a stream flews or formerly entered,,,,,,,,,,,,,,,,into which,,,,,,,,
jama,A.2 Underground landform|A.2 Underground landform|D.3.1 Geolocation|A.2 Underground landform|D.3.1 Geolocation,abime|jama|France|pothole|England,"jama: Vertical or steeply inclined shaft in limestone, known as abime or aven in France and as pothole in England.",,,in limestone,,,,Vertical,,,Vertical or steeply inclined shaft,,,,,,,,,,,,,in,,,,,,,,,,,,
